z       ρ           
[V]     [V<sup>-1</sup>]         
-1.0988247  0.22346403            
-1.0984163  0.22346403            
-1.0980079  0.67039209            
-1.0975995  1.1173202            
-1.0971911  1.1173202            
-1.0967827  2.0111763            
-1.0963743  3.7988885            
-1.0959658  3.5754245            
-1.0955574  5.5866008            
-1.095149  4.0223526            
-1.0947406  6.7039209            
-1.0943322  6.4804569            
-1.0939238  6.927385            
-1.0935154  8.9385613            
-1.0931069  6.0335289            
-1.0926985  8.0447051            
-1.0922901  11.173202            
-1.0918817  13.631306            
-1.0914733  12.513986            
-1.0910649  14.301698            
-1.0906565  14.748626            
-1.090248  15.419018            
-1.0898396  21.899475            
-1.0894312  30.167644            
-1.0890228  30.614572            
-1.0886144  37.095029            
-1.088206  40.44699            
-1.0877976  48.044767            
-1.0873891  40.893918            
-1.0869807  49.162087            
-1.0865723  58.994504            
-1.0861639  58.547576            
-1.0857555  67.486138            
-1.0853471  67.709602            
-1.0849387  64.134177            
-1.0845302  68.379994            
-1.0841218  67.262673            
-1.0837134  69.27385            
-1.083305  68.379994            
-1.0828966  70.39117            
-1.0824882  69.720778            
-1.0820798  85.139796            
-1.0816713  77.542019            
-1.0812629  75.754307            
-1.0808545  80.670515            
-1.0804461  74.190058            
-1.0800377  76.424699            
-1.0796293  70.614634            
-1.0792209  62.123001            
-1.0788124  63.240321            
-1.078404  68.15653            
-1.0779956  58.994504            
-1.0775872  45.139734            
-1.0771788  60.111824            
-1.0767704  52.737511            
-1.076362  44.692806            
-1.0759536  43.575486            
-1.0755451  40.670454            
-1.0751367  42.905094            
-1.0747283  34.413461            
-1.0743199  30.614572            
-1.0739115  16.536338            
-1.0735031  16.759802            
-1.0730947  13.184378            
-1.0726862  9.8324174            
-1.0722778  7.374313            
-1.0718694  6.927385            
-1.071461  3.3519605            
-1.0710526  3.7988885            
-1.0706442  1.3407842            
-1.0702358  2.0111763            
-1.0698273  1.3407842            
-1.0694189  0.44692806            
-1.0690105  0.22346403            
-1.0686021  0.44692806            
-1.0681937  0.22346403            
-1.0677853  0.22346403            
-1.0673769  0.89385613            
