z       ρ           
[V]     [V<sup>-1</sup>]         
-1.0979366  1.4092145            
-1.0973103  2.1138218            
-1.096684  0.70460726            
-1.0960577  1.4092145            
-1.0954314  4.9322508            
-1.0948051  7.0460726            
-1.0941787  8.4552871            
-1.0935524  14.092145            
-1.0929261  14.796752            
-1.0922998  19.729003            
-1.0916735  13.387538            
-1.0910472  21.842825            
-1.0904208  33.821149            
-1.0897945  31.707327            
-1.0891682  36.639578            
-1.0885419  44.390257            
-1.0879156  40.867221            
-1.0872893  59.18701            
-1.086663  45.799472            
-1.0860366  79.62062            
-1.0854103  67.642297            
-1.084784  78.211406            
-1.0841577  78.916013            
-1.0835314  70.460726            
-1.0829051  87.3713            
-1.0822787  65.528475            
-1.0816524  73.983762            
-1.0810261  71.869941            
-1.0803998  76.097584            
-1.0797735  47.913294            
-1.0791472  52.845545            
-1.0785209  65.528475            
-1.0778945  54.959366            
-1.0772682  47.913294            
-1.0766419  46.504079            
-1.0760156  38.753399            
-1.0753893  30.298112            
-1.074763  22.547432            
-1.0741367  19.729003            
-1.0735103  9.1598944            
-1.072884  2.1138218            
-1.0722577  2.818429            
-1.0716314  1.4092145            
-1.0710051  1.4092145            
-1.0703788  0            
-1.0697524  0.70460726            
