Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-1.0069001  0.062179015            
-1.0064801  0.062179015            
-1.00606  0.24871606            
-1.00564  0.4352531            
-1.00522  0.37307409            
-1.0048  0.37307409            
-1.0043799  0.68396916            
-1.0039599  0.62179015            
-1.0035399  0.80832719            
-1.0031199  0.87050621            
-1.0026999  1.9275495            
-1.0022798  2.1762655            
-1.0018598  2.4249816            
-1.0014398  3.5442039            
-1.0010198  3.3576668            
-1.0005998  3.3576668            
-1.0001797  4.7256051            
-0.99975972  5.4717533            
-0.9993397  6.5909756            
-0.99891968  6.0313644            
-0.99849966  7.5236608            
-0.99807964  9.5755683            
-0.99765961  11.627476            
-0.99723959  11.005686            
-0.99681957  13.617204            
-0.99639955  15.17168            
-0.99597953  15.420396            
-0.99555951  18.840242            
-0.99513949  20.581254            
-0.99471947  24.560711            
-0.99429945  26.177365            
-0.99387943  28.104915            
-0.99345941  30.965149            
-0.99303939  32.519625            
-0.99261936  36.00165            
-0.99219934  39.172779            
-0.99177932  41.349045            
-0.9913593  44.457996            
-0.99093928  49.24578            
-0.99051926  50.116286            
-0.99009924  51.857298            
-0.98967922  50.738076            
-0.9892592  56.272009            
-0.98883918  53.287416            
-0.98841916  61.24633            
-0.98799914  62.48991            
-0.98757912  62.48991            
-0.98715909  63.671311            
-0.98673907  62.365552            
-0.98631905  66.345009            
-0.98589903  64.168743            
-0.98547901  64.541817            
-0.98505899  62.738626            
-0.98463897  64.168743            
-0.98421895  59.878391            
-0.98379893  62.925163            
-0.98337891  61.86812            
-0.98295889  58.0752            
-0.98253887  53.847027            
-0.98211884  53.411774            
-0.98169882  54.779712            
-0.9812788  48.872706            
-0.98085878  47.31823            
-0.98043876  43.090057            
-0.98001874  41.908656            
-0.97959872  38.177915            
-0.9791787  34.882427            
-0.97875868  33.079236            
-0.97833866  28.291452            
-0.97791864  27.980557            
-0.97749862  27.420946            
-0.9770786  22.322266            
-0.97665857  20.82997            
-0.97623855  17.472303            
-0.97581853  16.726155            
-0.97539851  14.238994            
-0.97497849  13.492846            
-0.97455847  11.565297            
-0.97413845  9.6999263            
-0.97371843  8.9537781            
-0.97329841  7.6480188            
-0.97287839  6.9640497            
-0.97245837  6.4044385            
-0.97203835  5.5961113            
-0.97161833  3.7307409            
-0.9711983  4.041636            
-0.97077828  3.4198458            
-0.97035826  3.5442039            
-0.96993824  2.1140865            
-0.96951822  2.1762655            
-0.9690982  2.0519075            
-0.96867818  1.4301173            
-0.96825816  0.99486424            
-0.96783814  0.68396916            
-0.96741812  0.62179015            
-0.9669981  0.37307409            
-0.96657808  0.24871606            
-0.96615805  0.12435803            
-0.96573803  0.12435803            
-0.96531801  0.12435803            
-0.96489799  0.12435803            
-0.96447797  0.12435803            
-0.96405795  0.062179015            
-0.96363793  0.062179015            
-0.96321791  0.062179015            
-0.96279789  0            
-0.96237787  0.12435803            
-0.96195785  0            
-0.96153783  0            
-0.96111781  0            
-0.96069778  0            
-0.96027776  0            
-0.95985774  0.062179015            
-0.95943772  0.062179015            
-0.9590177  0            
-0.95859768  0            
-0.95817766  0            
-0.95775764  0.062179015            
