Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.59695244  0.17758446            
-0.59629208  0            
-0.59563172  0            
-0.59497135  0.059194819            
-0.59431099  0.11838964            
-0.59365063  0.23677928            
-0.59299027  0.059194819            
-0.59232991  0.11838964            
-0.59166955  0.35516891            
-0.59100918  0.23677928            
-0.59034882  0.47355855            
-0.58968846  0.41436373            
-0.5890281  0.41436373            
-0.58836774  0.59194819            
-0.58770738  0.71033783            
-0.58704701  1.0655067            
-0.58638665  1.4798705            
-0.58572629  1.7166498            
-0.58506593  2.3085979            
-0.58440557  2.5453772            
-0.58374521  2.2494031            
-0.58308484  3.610884            
-0.58242448  4.4396114            
-0.58176412  4.91317            
-0.58110376  6.0970664            
-0.5804434  6.9849886            
-0.57978304  10.003924            
-0.57912268  12.371717            
-0.57846231  15.568237            
-0.57780195  16.33777            
-0.57714159  19.65268            
-0.57648123  24.68424            
-0.57582087  25.512967            
-0.57516051  29.656604            
-0.57450014  33.622657            
-0.57383978  40.311672            
-0.57317942  39.660529            
-0.57251906  44.10014            
-0.5718587  47.178271            
-0.57119834  46.763907            
-0.57053797  53.867285            
-0.56987761  54.281649            
-0.56921725  55.820714            
-0.56855689  57.300585            
-0.56789653  60.260326            
-0.56723617  60.082741            
-0.5665758  57.063806            
-0.56591544  59.549988            
-0.56525508  54.932792            
-0.56459472  56.531052            
-0.56393436  53.985675            
-0.563274  49.901232            
-0.56261364  43.212218            
-0.56195327  41.377179            
-0.56129291  38.772606            
-0.56063255  35.161723            
-0.55997219  32.734735            
-0.55931183  31.07728            
-0.55865147  24.743434            
-0.5579911  22.790005            
-0.55733074  19.060732            
-0.55667038  15.035484            
-0.55601002  14.206757            
-0.55534966  13.378029            
-0.5546893  11.365405            
-0.55402893  8.4648591            
-0.55336857  6.8074042            
-0.55270821  6.9257938            
-0.55204785  5.0315596            
-0.55138749  5.4459234            
-0.55072713  3.7292736            
-0.55006677  4.0252477            
-0.5494064  2.3085979            
-0.54874604  1.7758446            
-0.54808568  1.5982601            
-0.54742532  1.5982601            
-0.54676496  0.71033783            
-0.5461046  0.71033783            
-0.54544423  0.82872747            
-0.54478387  0.35516891            
-0.54412351  0.17758446            
-0.54346315  0.11838964            
-0.54280279  0.11838964            
-0.54214243  0.059194819            
-0.54148206  0.059194819            
-0.5408217  0            
-0.54016134  0            
-0.53950098  0            
-0.53884062  0            
-0.53818026  0.059194819            
-0.53751989  0            
-0.53685953  0            
-0.53619917  0.059194819            
-0.53553881  0            
-0.53487845  0            
-0.53421809  0            
-0.53355773  0            
-0.53289736  0            
-0.532237  0            
-0.53157664  0            
-0.53091628  0            
-0.53025592  0            
-0.52959556  0.059194819            
