z       ρ           
[V]     [V<sup>-1</sup>]         
-1.0582197  0.022967543            
-1.0565288  0            
-1.0548379  0.045935086            
-1.0531471  0            
-1.0514562  0.022967543            
-1.0497654  0.091870172            
-1.0480745  0.11483772            
-1.0463836  0.1607728            
-1.0446928  0.18374034            
-1.0430019  0.3215456            
-1.041311  0.45935086            
-1.0396202  0.59715612            
-1.0379293  0.55122103            
-1.0362385  0.91870172            
-1.0345476  1.3780526            
-1.0328567  1.6766306            
-1.0311659  1.9522412            
-1.029475  2.664235            
-1.0277842  3.8126121            
-1.0260933  3.8815148            
-1.0244024  5.0987946            
-1.0227116  5.9026586            
-1.0210207  6.5227822            
-1.0193298  7.5563217            
-1.017639  8.796569            
-1.0159481  10.404297            
-1.0142573  11.690479            
-1.0125664  12.815889            
-1.0108755  14.377682            
-1.0091847  15.549027            
-1.0074938  15.594962            
-1.0058029  17.363463            
-1.0041121  17.776878            
-1.0024212  18.41997            
-1.0007304  18.029521            
-0.99903949  18.78745            
-0.99734863  20.418146            
-0.99565777  19.177898            
-0.99396691  18.994158            
-0.99227604  19.683184            
-0.99058518  18.465905            
-0.98889432  19.086028            
-0.98720346  17.593138            
-0.98551259  18.305132            
-0.98382173  16.375858            
-0.98213087  16.07728            
-0.98044001  15.434189            
-0.97874915  14.607357            
-0.97705828  13.298207            
-0.97536742  13.481948            
-0.97367656  11.460804            
-0.9719857  11.047388            
-0.97029483  9.9449461            
-0.96860397  9.34779            
-0.96691311  8.8195365            
-0.96522225  7.7170945            
-0.96353139  7.5333541            
-0.96184052  6.9132305            
-0.96014966  6.0174963            
-0.9584588  4.8002165            
-0.95676794  4.7542814            
-0.95507707  4.2489955            
-0.95338621  4.1341577            
-0.95169535  3.7896446            
-0.95000449  3.1924885            
-0.94831363  2.916878            
-0.94662276  2.2508192            
-0.9449319  2.6182999            
-0.94324104  1.9752087            
-0.94155018  1.6306956            
-0.93985931  1.6766306            
-0.93816845  1.6766306            
-0.93647759  1.2632149            
-0.93478673  1.1713447            
-0.93309586  1.056507            
-0.931405  0.75792892            
-0.92971414  0.78089646            
-0.92802328  0.43638332            
-0.92633242  0.57418858            
-0.92464155  0.41341577            
-0.92295069  0.34451315            
-0.92125983  0.18374034            
-0.91956897  0.25264297            
-0.9178781  0.20670789            
-0.91618724  0.11483772            
-0.91449638  0.091870172            
-0.91280552  0.11483772            
-0.91111466  0.091870172            
-0.90942379  0.18374034            
-0.90773293  0.045935086            
-0.90604207  0.068902629            
-0.90435121  0.045935086            
-0.90266034  0.068902629            
-0.90096948  0.022967543            
-0.89927862  0            
-0.89758776  0.045935086            
-0.8958969  0.022967543            
-0.89420603  0            
-0.89251517  0            
-0.89082431  0            
-0.88913345  0.022967543            
-0.88744258  0            
-0.88575172  0.022967543            
