z       ρ           
[V]     [V<sup>-1</sup>]         
-1.0596597  0.062703416            
-1.0578356  0            
-1.0560115  0            
-1.0541874  0            
-1.0523633  0.031351708            
-1.0505392  0.18811025            
-1.0487151  0.094055125            
-1.046891  0.18811025            
-1.0450669  0.3762205            
-1.0432428  0.65838587            
-1.0414187  0.72108929            
-1.0395946  1.1600132            
-1.0377705  1.28542            
-1.0359464  2.5394884            
-1.0341223  2.9470606            
-1.0322982  4.1384255            
-1.0304741  5.9254729            
-1.02865  6.2076382            
-1.0268259  9.1546988            
-1.0250018  10.659581            
-1.0231777  13.355828            
-1.0213536  14.045565            
-1.0195295  15.017468            
-1.0177055  15.738558            
-1.0158814  16.114778            
-1.0140573  17.368846            
-1.0122332  17.839122            
-1.0104091  19.845631            
-1.008585  18.52886            
-1.0067609  21.319162            
-1.0049368  21.538624            
-1.0031127  22.479175            
-1.0012886  21.444568            
-0.99946446  20.942941            
-0.99764037  19.845631            
-0.99581627  21.350513            
-0.99399217  21.193755            
-0.99216807  20.660776            
-0.99034397  18.560211            
-0.98851987  17.368846            
-0.98669577  15.299634            
-0.98487168  12.47798            
-0.98304758  11.129856            
-0.98122348  9.6249744            
-0.97939938  8.3709061            
-0.97757528  8.3082027            
-0.97575118  6.8033207            
-0.97392708  5.4865489            
-0.97210299  5.0789767            
-0.97027889  3.9503152            
-0.96845479  3.1665225            
-0.96663069  3.3546328            
-0.96480659  2.6335435            
-0.96298249  2.0692127            
-0.96115839  2.257323            
-0.95933429  1.9751576            
-0.9575102  2.3513781            
-0.9556861  1.6616405            
-0.953862  2.037861            
-0.9520379  1.4421786            
-0.9502138  1.5989371            
-0.9483897  1.724344            
-0.9465656  1.8183991            
-0.94474151  1.2227166            
-0.94291741  1.504882            
-0.94109331  1.4108269            
-0.93926921  1.2540683            
-0.93744511  1.0659581            
-0.93562101  1.1913649            
-0.93379691  0.90919954            
-0.93197282  0.78379271            
-0.93014872  0.47027562            
-0.92832462  0.81514441            
-0.92650052  0.34486879            
-0.92467642  0.31351708            
-0.92285232  0.3762205            
-0.92102822  0.31351708            
-0.91920413  0.28216537            
-0.91738003  0.031351708            
-0.91555593  0.12540683            
-0.91373183  0.031351708            
-0.91190773  0.094055125            
-0.91008363  0.062703416            
-0.90825953  0            
-0.90643543  0            
-0.90461134  0.031351708            
-0.90278724  0.031351708            
-0.90096314  0            
-0.89913904  0            
-0.89731494  0            
-0.89549084  0.031351708            
