Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.95442414  0.013863272            
-0.95312517  0            
-0.9518262  0.013863272            
-0.95052724  0.013863272            
-0.94922827  0.055453087            
-0.9479293  0.027726543            
-0.94663033  0.055453087            
-0.94533136  0.13863272            
-0.94403239  0.069316358            
-0.94273342  0.13863272            
-0.94143445  0.097042902            
-0.94013548  0.1940858            
-0.93883652  0.097042902            
-0.93753755  0.24953889            
-0.93623858  0.22181235            
-0.93493961  0.22181235            
-0.93364064  0.44362469            
-0.93234167  0.40203488            
-0.9310427  0.41589815            
-0.92974373  0.49907778            
-0.92844476  0.44362469            
-0.92714579  0.77634321            
-0.92584683  0.99815556            
-0.92454786  1.0397454            
-0.92324889  1.6497293            
-0.92194992  1.6220028            
-0.92065095  2.0794908            
-0.91935198  2.7172013            
-0.91805301  3.1192361            
-0.91675404  3.6183139            
-0.91545507  4.7551022            
-0.91415611  5.3928127            
-0.91285714  7.0148155            
-0.91155817  7.1395849            
-0.9102592  9.3854349            
-0.90896023  10.272684            
-0.90766126  11.742191            
-0.90636229  12.740347            
-0.90506332  14.168264            
-0.90376435  16.330934            
-0.90246538  18.590647            
-0.90116642  18.354972            
-0.89986745  19.297674            
-0.89856848  21.391028            
-0.89726951  23.761648            
-0.89597054  23.581425            
-0.89467157  22.680312            
-0.8933726  23.830964            
-0.89207363  24.66276            
-0.89077466  24.288452            
-0.8894757  23.803237            
-0.88817673  22.943715            
-0.88687776  23.623015            
-0.88557879  23.373476            
-0.88427982  20.905814            
-0.88298085  21.432618            
-0.88168188  21.0999            
-0.88038291  19.907658            
-0.87908394  18.895639            
-0.87778497  17.148867            
-0.87648601  15.72095            
-0.87518704  15.208009            
-0.87388807  14.001904            
-0.8725891  14.431666            
-0.87129013  12.948296            
-0.86999116  12.366038            
-0.86869219  10.771762            
-0.86739322  10.286548            
-0.86609425  9.1774859            
-0.86479529  9.1636226            
-0.86349632  7.6386627            
-0.86219735  7.1118584            
-0.86089838  6.9316358            
-0.85959941  6.2661988            
-0.85830044  5.9889334            
-0.85700147  5.7532578            
-0.8557025  5.0046411            
-0.85440353  4.8521451            
-0.85310456  3.9926222            
-0.8518056  3.8401263            
-0.85050663  3.3826383            
-0.84920766  3.063783            
-0.84790869  3.0499198            
-0.84660972  2.9806034            
-0.84531075  2.5647053            
-0.84401178  2.4122093            
-0.84271281  1.788362            
-0.84141384  1.6635926            
-0.84011487  1.4972333            
-0.83881591  1.4417803            
-0.83751694  1.1506516            
-0.83621797  0.9288392            
-0.834919  0.85952284            
-0.83362003  0.81793303            
-0.83232106  0.94270248            
-0.83102209  0.6377105            
-0.82972312  0.80406976            
-0.82842415  0.45748797            
-0.82712519  0.36044506            
-0.82582622  0.48521451            
-0.82452725  0.34658179            
-0.82322828  0.40203488            
-0.82192931  0.31885525            
-0.82063034  0.23567562            
-0.81933137  0.22181235            
-0.8180324  0.1940858            
-0.81673343  0.29112871            
-0.81543446  0.097042902            
-0.8141355  0.097042902            
-0.81283653  0.18022253            
-0.81153756  0.12476945            
-0.81023859  0.08317963            
-0.80893962  0.13863272            
-0.80764065  0.013863272            
-0.80634168  0.013863272            
-0.80504271  0.097042902            
-0.80374374  0.027726543            
-0.80244478  0.013863272            
-0.80114581  0.027726543            
-0.79984684  0.055453087            
-0.79854787  0.069316358            
-0.7972489  0.013863272            
-0.79594993  0.013863272            
-0.79465096  0            
-0.79335199  0            
-0.79205302  0.013863272            
-0.79075405  0            
-0.78945509  0.013863272            
-0.78815612  0.027726543            
-0.78685715  0            
-0.78555818  0            
-0.78425921  0            
-0.78296024  0.013863272            
