Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.98532081  0.016198227            
-0.98404217  0.016198227            
-0.98276353  0.016198227            
-0.9814849  0.048594682            
-0.98020626  0.080991137            
-0.97892762  0.016198227            
-0.97764898  0.097189365            
-0.97637035  0.06479291            
-0.97509171  0.048594682            
-0.97381307  0.11338759            
-0.97253444  0.032396455            
-0.9712558  0.080991137            
-0.96997716  0.21057696            
-0.96869853  0.06479291            
-0.96741989  0.11338759            
-0.96614125  0.097189365            
-0.96486262  0.16198227            
-0.96358398  0.30776632            
-0.96230534  0.14578405            
-0.9610267  0.30776632            
-0.95974807  0.29156809            
-0.95846943  0.29156809            
-0.95719079  0.356361            
-0.95591216  0.34016278            
-0.95463352  0.356361            
-0.95335488  0.48594682            
-0.95207625  0.4697486            
-0.95079761  0.58313619            
-0.94951897  0.76131669            
-0.94824033  0.93949719            
-0.9469617  0.92329897            
-0.94568306  1.2310653            
-0.94440442  1.6846157            
-0.94312579  1.781805            
-0.94184715  2.5431217            
-0.94056851  2.850888            
-0.93928988  3.0938614            
-0.93801124  4.2601338            
-0.9367326  4.9404594            
-0.93545396  5.3778115            
-0.93417533  6.8842467            
-0.93289669  6.981436            
-0.93161805  9.6541436            
-0.93033942  10.204883            
-0.92906078  12.326851            
-0.92778214  13.395934            
-0.92650351  14.724189            
-0.92522487  15.048153            
-0.92394623  17.024337            
-0.9226676  17.26731            
-0.92138896  17.170121            
-0.92011032  20.280181            
-0.91883168  21.252074            
-0.91755305  20.102            
-0.91627441  21.802814            
-0.91499577  22.304959            
-0.91371714  22.175373            
-0.9124385  22.855699            
-0.91115986  22.985285            
-0.90988123  21.948598            
-0.90860259  21.964796            
-0.90732395  22.564131            
-0.90604531  22.304959            
-0.90476668  21.300669            
-0.90348804  21.414057            
-0.9022094  21.009101            
-0.90093077  19.227296            
-0.89965213  19.891423            
-0.89837349  18.465979            
-0.89709486  16.797562            
-0.89581622  16.846157            
-0.89453758  15.971452            
-0.89325895  15.015757            
-0.89198031  14.108656            
-0.89070167  12.569825            
-0.88942303  12.132472            
-0.8881444  11.209173            
-0.88686576  9.8323241            
-0.88558712  9.8161259            
-0.88430849  8.3420871            
-0.88302985  7.6941581            
-0.88175121  7.4511846            
-0.88047258  6.4630928            
-0.87919394  5.4426044            
-0.8779153  5.6369832            
-0.87663666  5.2158292            
-0.87535803  4.4707108            
-0.87407939  3.7903852            
-0.87280075  3.7093941            
-0.87152212  3.5312136            
-0.87024348  3.1100597            
-0.86896484  2.6241129            
-0.86768621  2.5269235            
-0.86640757  2.6079146            
-0.86512893  1.7494086            
-0.8638503  1.2310653            
-0.86257166  1.6036245            
-0.86129302  1.425444            
-0.86001438  1.3120564            
-0.85873575  1.2148671            
-0.85745711  0.92329897            
-0.85617847  1.069083            
-0.85489984  0.61553264            
-0.8536212  0.6479291            
-0.85234256  0.56693796            
-0.85106393  0.48594682            
-0.84978529  0.30776632            
-0.84850665  0.34016278            
-0.84722801  0.32396455            
-0.84594938  0.22677518            
-0.84467074  0.16198227            
-0.8433921  0.19437873            
-0.84211347  0.1781805            
-0.84083483  0.11338759            
-0.83955619  0.06479291            
-0.83827756  0.032396455            
-0.83699892  0.06479291            
-0.83572028  0.06479291            
-0.83444164  0            
-0.83316301  0.016198227            
-0.83188437  0.016198227            
-0.83060573  0.032396455            
-0.8293271  0            
-0.82804846  0.016198227            
-0.82676982  0            
-0.82549119  0            
-0.82421255  0.032396455            
