Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.67961216  0.26907334            
-0.67923514  0            
-0.67885812  0.53814668            
-0.6784811  0.13453667            
-0.67810409  0.80722002            
-0.67772707  0.26907334            
-0.67735005  0.94175668            
-0.67697303  0.53814668            
-0.67659601  1.61444            
-0.67621899  1.0762934            
-0.67584198  1.7489767            
-0.67546496  2.2871234            
-0.67508794  2.5561967            
-0.67471092  3.4979534            
-0.6743339  4.3051734            
-0.67395688  4.8433201            
-0.67357987  8.2067368            
-0.67320285  9.1484935            
-0.67282583  10.762934            
-0.67244881  12.377374            
-0.67207179  15.606254            
-0.67169477  15.202644            
-0.67131775  18.16245            
-0.67094074  23.40938            
-0.67056372  23.40938            
-0.6701867  30.405287            
-0.66980968  33.903241            
-0.66943266  37.266657            
-0.66905564  40.764611            
-0.66867863  48.298664            
-0.66830161  47.625981            
-0.66792459  53.545594            
-0.66754757  61.886868            
-0.66717055  62.021405            
-0.66679353  66.057505            
-0.66641652  71.438971            
-0.6660395  76.147755            
-0.66566248  81.932832            
-0.66528546  87.852445            
-0.66490844  91.484935            
-0.66453142  86.776152            
-0.66415441  91.754008            
-0.66377739  88.525128            
-0.66340037  85.161712            
-0.66302335  81.663758            
-0.66264633  90.812252            
-0.66226931  80.318392            
-0.66189229  71.573508            
-0.66151528  77.627658            
-0.66113826  76.416828            
-0.66076124  69.959068            
-0.66038422  68.075555            
-0.6600072  58.792524            
-0.65963018  58.254378            
-0.65925317  51.527544            
-0.65887615  57.043548            
-0.65849913  43.320807            
-0.65812211  45.204321            
-0.65774509  36.997584            
-0.65736807  32.288801            
-0.65699106  29.463531            
-0.65661404  27.983627            
-0.65623702  24.754747            
-0.65586  20.045964            
-0.65548298  18.027914            
-0.65510596  15.33718            
-0.65472895  17.35523            
-0.65435193  10.49386            
-0.65397491  13.050057            
-0.65359789  9.5521035            
-0.65322087  11.032007            
-0.65284385  9.4175668            
-0.65246683  8.4758102            
-0.65208982  6.5922968            
-0.6517128  5.3814668            
-0.65133578  2.9598067            
-0.65095876  4.1706367            
-0.65058174  2.5561967            
-0.65020472  1.61444            
-0.64982771  1.8835134            
-0.64945069  1.3453667            
-0.64907367  0.94175668            
-0.64869665  0.53814668            
-0.64831963  1.3453667            
-0.64794261  0.53814668            
-0.6475656  0.40361001            
-0.64718858  0.26907334            
-0.64681156  0.67268335            
-0.64643454  0.67268335            
-0.64605752  0.40361001            
-0.6456805  0.13453667            
-0.64530349  0.26907334            
-0.64492647  0            
-0.64454945  0.26907334            
