Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.67876697  0.738868            
-0.67835222  0.738868            
-0.67793747  1.84717            
-0.67752273  0.923585            
-0.67710798  2.401321            
-0.67669323  2.770755            
-0.67627849  3.879057            
-0.67586374  4.063774            
-0.67544899  4.433208            
-0.67503425  6.465095            
-0.6746195  6.095661            
-0.67420475  9.974718            
-0.67379001  8.866416            
-0.67337526  9.23585            
-0.67296051  11.637171            
-0.67254577  14.592643            
-0.67213102  19.210568            
-0.67171627  20.503587            
-0.67130153  19.764719            
-0.67088678  31.956041            
-0.67047203  31.771324            
-0.67005729  39.344721            
-0.66964254  47.472269            
-0.66922779  43.962646            
-0.66881305  53.383213            
-0.6683983  61.141327            
-0.66798356  63.173214            
-0.66756881  69.268875            
-0.66715406  72.03963            
-0.66673932  77.211706            
-0.66632457  84.046235            
-0.66590982  89.587745            
-0.66549508  88.110009            
-0.66508033  93.282085            
-0.66466558  89.403028            
-0.66425084  99.562463            
-0.66383609  89.772462            
-0.66342134  87.740575            
-0.6630066  86.447556            
-0.66259185  84.415669            
-0.6621771  73.147932            
-0.66176236  67.791139            
-0.66134761  69.823026            
-0.66093286  65.205101            
-0.66051812  61.510761            
-0.66010337  59.848308            
-0.65968862  45.994533            
-0.65927388  50.243024            
-0.65885913  39.714155            
-0.65844438  33.803211            
-0.65802964  31.586607            
-0.65761489  31.032456            
-0.65720014  20.873021            
-0.6567854  20.873021            
-0.65637065  16.809247            
-0.6559559  15.885662            
-0.65554116  13.299624            
-0.65512641  13.484341            
-0.65471167  7.019246            
-0.65429692  9.420567            
-0.65388217  6.280378            
-0.65346743  5.910944            
-0.65305268  3.509623            
-0.65263793  3.69434            
-0.65222319  3.324906            
-0.65180844  2.031887            
-0.65139369  1.84717            
-0.65097895  0.554151            
-0.6505642  1.477736            
-0.65014945  0.738868            
-0.64973471  0.369434            
-0.64931996  0.738868            
-0.64890521  0.554151            
-0.64849047  0.184717            
-0.64807572  0.184717            
-0.64766097  0.369434            
-0.64724623  0            
-0.64683148  0.554151            
-0.64641673  0            
-0.64600199  0            
-0.64558724  0            
-0.64517249  0.184717            
