Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.38890362  0.25443371            
-0.38842789  0.33924494            
-0.38795216  0.42405618            
-0.38747644  1.2721685            
-0.38700071  1.3569798            
-0.38652498  2.0354697            
-0.38604926  1.6962247            
-0.38557353  3.5620719            
-0.3850978  4.664618            
-0.38462208  5.1734854            
-0.38414635  6.0215977            
-0.38367062  5.5127303            
-0.3831949  6.4456539            
-0.38271917  6.7000876            
-0.38224344  7.4633887            
-0.38176771  6.7000876            
-0.38129199  6.8697101            
-0.38081626  8.3963123            
-0.38034053  9.0748022            
-0.37986481  11.534328            
-0.37938908  12.721685            
-0.37891335  15.0964            
-0.37843763  16.283757            
-0.3779619  20.948375            
-0.37748617  21.457243            
-0.37701045  24.340825            
-0.37653472  25.528182            
-0.37605899  28.83582            
-0.37558327  32.058647            
-0.37510754  35.451096            
-0.37463181  36.129586            
-0.37415608  42.320806            
-0.37368036  41.89675            
-0.37320463  42.490429            
-0.3727289  49.614573            
-0.37225318  53.770323            
-0.37177745  52.15891            
-0.37130172  57.077961            
-0.370826  63.18437            
-0.37035027  60.3856            
-0.36987454  63.438804            
-0.36939882  64.710973            
-0.36892309  68.273045            
-0.36844736  66.746442            
-0.36797164  69.799647            
-0.36749591  64.286916            
-0.36702018  63.438804            
-0.36654445  65.050218            
-0.36606873  61.148901            
-0.365593  58.434941            
-0.36511727  56.738717            
-0.36464155  50.462685            
-0.36416582  49.190517            
-0.36369009  46.222123            
-0.36321437  39.352413            
-0.36273864  35.790341            
-0.36226291  37.571377            
-0.36178719  33.161193            
-0.36131146  28.411764            
-0.36083573  29.683932            
-0.36036001  25.273748            
-0.35988428  24.764881            
-0.35940855  25.697804            
-0.35893282  20.354697            
-0.3584571  17.810359            
-0.35798137  17.979982            
-0.35750564  12.297629            
-0.35702992  12.636874            
-0.35655419  10.771027            
-0.35607846  9.7532921            
-0.35560274  6.6152764            
-0.35512701  6.4456539            
-0.35465128  6.106409            
-0.35417556  4.4949955            
-0.35369983  4.5798067            
-0.3532241  3.4772607            
-0.35274838  2.7987708            
-0.35227265  2.2050921            
-0.35179692  1.6114135            
-0.35132119  1.0177348            
-0.35084547  1.3569798            
-0.35036974  0.67848988            
-0.34989401  0.93292359            
-0.34941829  0.33924494            
-0.34894256  0.67848988            
-0.34846683  0.76330112            
-0.34799111  0.16962247            
-0.34751538  0.25443371            
-0.34703965  0.16962247            
-0.34656393  0.25443371            
-0.3460882  0.16962247            
-0.34561247  0.16962247            
-0.34513675  0            
-0.34466102  0            
-0.34418529  0            
-0.34370956  0.084811235            
-0.34323384  0            
-0.34275811  0            
-0.34228238  0            
-0.34180666  0.084811235            
-0.34133093  0            
-0.3408552  0.084811235            
