Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.38899183  0.55867333            
-0.38817094  0.55867333            
-0.38735005  2.2346933            
-0.38652916  1.67602            
-0.38570827  1.9553567            
-0.38488737  4.4693866            
-0.38406648  2.51403            
-0.38324559  5.5867333            
-0.3824247  8.1007633            
-0.38160381  13.128823            
-0.38078291  7.5420899            
-0.37996202  12.849487            
-0.37914113  17.877547            
-0.37832024  19.832903            
-0.37749935  27.933666            
-0.37667845  32.123716            
-0.37585756  36.313766            
-0.37503667  34.35841            
-0.37421578  43.297183            
-0.37339489  44.973203            
-0.37257399  53.911976            
-0.3717531  55.587996            
-0.37093221  67.599473            
-0.37011132  65.923453            
-0.36929043  62.292076            
-0.36846954  75.141563            
-0.36764864  63.968096            
-0.36682775  67.320136            
-0.36600686  55.30866            
-0.36518597  39.945143            
-0.36436508  42.459173            
-0.36354418  34.079073            
-0.36272329  32.68239            
-0.3619024  34.917083            
-0.36108151  24.022953            
-0.36026062  26.257646            
-0.35943972  20.391577            
-0.35861883  18.715557            
-0.35779794  14.24617            
-0.35697705  11.173467            
-0.35615616  6.4247433            
-0.35533526  6.9834166            
-0.35451437  4.4693866            
-0.35369348  4.7487233            
-0.35287259  2.51403            
-0.3520517  2.7933666            
-0.35123081  1.1173467            
-0.35040991  1.1173467            
-0.34958902  0.55867333            
-0.34876813  1.1173467            
-0.34794724  0.83800999            
-0.34712635  0            
-0.34630545  0.55867333            
-0.34548456  0.27933666            
-0.34466367  0.27933666            
-0.34384278  0            
-0.34302189  0.55867333            
