Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
0.27307987  0.52801357            
0.27379685  0.26400678            
0.27451382  0.79202035            
0.2752308  0            
0.27594777  1.5840407            
0.27666475  1.0560271            
0.27738172  3.1680814            
0.2780987  3.696095            
0.27881568  3.9601018            
0.27953265  7.39219            
0.28024963  6.3361628            
0.2809666  8.1842103            
0.28168358  8.7122239            
0.28240055  11.880305            
0.28311753  11.880305            
0.2838345  15.840407            
0.28455148  18.216468            
0.28526846  24.288624            
0.28598543  25.608658            
0.28670241  26.400678            
0.28741938  30.888794            
0.28813636  45.93718            
0.28885333  40.393038            
0.28957031  52.53735            
0.29028728  41.977079            
0.29100426  54.385398            
0.29172123  53.857384            
0.29243821  57.289472            
0.29315519  60.985567            
0.29387216  66.265703            
0.29458914  56.761459            
0.29530611  54.649404            
0.29602309  59.401526            
0.29674006  57.553479            
0.29745704  49.369269            
0.29817401  43.825126            
0.29889099  41.185058            
0.29960796  40.657045            
0.30032494  39.601018            
0.30104192  32.736841            
0.30175889  31.416807            
0.30247587  26.928692            
0.30319284  31.944821            
0.30390982  26.928692            
0.30462679  21.38455            
0.30534377  21.38455            
0.30606074  16.896434            
0.30677772  17.160441            
0.3074947  10.824278            
0.30821167  9.5042442            
0.30892865  7.39219            
0.30964562  4.2241085            
0.3103626  4.2241085            
0.31107957  2.1120543            
0.31179655  1.0560271            
0.31251352  0.26400678            
0.3132305  0.52801357            
0.31394747  0            
0.31466445  0.26400678            
0.31538143  0            
0.3160984  0.26400678            
