Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
0.2731514  0.60743747            
0.27377006  1.0123958            
0.27438872  0.40495831            
0.27500738  1.0123958            
0.27562605  1.4173541            
0.27624471  0.40495831            
0.27686337  2.2272707            
0.27748203  1.0123958            
0.27810069  2.0247916            
0.27871936  2.4297499            
0.27933802  4.8594997            
0.27995668  3.6446248            
0.28057534  5.8718955            
0.28119401  7.8966871            
0.28181267  7.6942079            
0.28243133  9.111562            
0.28304999  11.743791            
0.28366865  13.363624            
0.28428732  23.082624            
0.28490598  19.033041            
0.28552464  24.904936            
0.2861433  27.537165            
0.28676197  27.132207            
0.28738063  31.586748            
0.28799929  32.194186            
0.28861795  38.066081            
0.28923661  37.863602            
0.28985528  34.826415            
0.29047394  43.735498            
0.2910926  45.962768            
0.29171126  47.785081            
0.29232992  49.607393            
0.29294859  56.694164            
0.29356725  57.301601            
0.29418591  57.301601            
0.29480457  61.756143            
0.29542324  57.909039            
0.2960419  60.338789            
0.29666056  55.681768            
0.29727922  66.008205            
0.29789788  50.619789            
0.29851655  52.442101            
0.29913521  47.785081            
0.29975387  46.570206            
0.30037253  39.483435            
0.30099119  40.293352            
0.30160986  33.814019            
0.30222852  33.61154            
0.30284718  32.801623            
0.30346584  31.586748            
0.30408451  24.499978            
0.30470317  28.144603            
0.30532183  16.603291            
0.30594049  19.033041            
0.30655915  16.80577            
0.30717782  11.743791            
0.30779648  13.161145            
0.30841514  10.731395            
0.3090338  6.2768538            
0.30965246  6.2768538            
0.31027113  5.6694164            
0.31088979  5.4669372            
0.31150845  4.2520623            
0.31212711  2.2272707            
0.31274578  1.4173541            
0.31336444  1.2148749            
0.3139831  0.40495831            
0.31460176  0            
0.31522042  0            
0.31583909  0.40495831            
