Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.59773564  0.088292288            
-0.59716116  0.26487686            
-0.59658667  0            
-0.59601218  0.35316915            
-0.59543769  0.35316915            
-0.59486321  0.61804601            
-0.59428872  0.61804601            
-0.59371423  0.52975373            
-0.59313974  1.0595075            
-0.59256526  1.6775535            
-0.59199077  1.854138            
-0.59141628  1.9424303            
-0.5908418  1.4126766            
-0.59026731  1.3243843            
-0.58969282  2.6487686            
-0.58911833  2.5604763            
-0.58854385  2.6487686            
-0.58796936  2.7370609            
-0.58739487  3.6199838            
-0.58682038  1.854138            
-0.5862459  4.4146144            
-0.58567141  4.7677835            
-0.58509692  6.8867985            
-0.58452244  7.2399676            
-0.58394795  10.771659            
-0.58337346  12.007751            
-0.58279897  11.389705            
-0.58222449  16.687242            
-0.58165  16.687242            
-0.58107551  18.099919            
-0.58050102  22.955995            
-0.57992654  21.278441            
-0.57935205  24.898425            
-0.57877756  24.192087            
-0.57820307  27.105732            
-0.57762859  30.460839            
-0.5770541  34.257408            
-0.57647961  33.1979            
-0.57590513  35.4935            
-0.57533064  36.817884            
-0.57475615  42.556883            
-0.57418166  43.263221            
-0.57360718  43.528098            
-0.57303269  45.735405            
-0.5724582  49.443681            
-0.57188371  53.24025            
-0.57130923  49.531973            
-0.57073474  54.564634            
-0.57016025  57.743156            
-0.56958576  50.768066            
-0.56901128  47.324666            
-0.56843679  49.79685            
-0.5678623  48.913927            
-0.56728782  47.766128            
-0.56671333  43.704682            
-0.56613884  44.322728            
-0.56556435  41.585668            
-0.56498987  43.086636            
-0.56441538  40.084699            
-0.56384089  37.082761            
-0.5632664  34.787161            
-0.56269192  32.756439            
-0.56211743  30.902301            
-0.56154294  28.253532            
-0.56096845  28.341824            
-0.56039397  24.633548            
-0.55981948  21.455026            
-0.55924499  21.543318            
-0.55867051  19.68918            
-0.55809602  20.218934            
-0.55752153  19.865765            
-0.55694704  15.186274            
-0.55637256  13.420428            
-0.55579807  13.067259            
-0.55522358  11.477997            
-0.55464909  8.2994751            
-0.55407461  7.2399676            
-0.55350012  5.1209527            
-0.55292563  4.9443681            
-0.55235115  4.5029067            
-0.55177666  4.0614452            
-0.55120217  2.5604763            
-0.55062768  2.2955995            
-0.5500532  1.6775535            
-0.54947871  0.88292288            
-0.54890422  0.88292288            
-0.54832973  0.17658458            
-0.54775525  0.17658458            
-0.54718076  0.17658458            
-0.54660627  0            
-0.54603178  0.088292288            
-0.5454573  0            
-0.54488281  0            
-0.54430832  0.17658458            
