Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.5970037  0.48461597            
-0.59622824  0.48461597            
-0.59545279  1.7769252            
-0.59467733  1.2923093            
-0.59390187  2.1000026            
-0.59312642  2.2615412            
-0.59235096  2.5846185            
-0.5915755  3.8769278            
-0.59080005  1.7769252            
-0.59002459  1.6153866            
-0.58924913  2.4230799            
-0.58847368  1.4538479            
-0.58769822  1.6153866            
-0.58692276  2.7461572            
-0.58614731  4.0384664            
-0.58537185  5.653853            
-0.5845964  8.8846262            
-0.58382094  13.24617            
-0.58304548  17.607714            
-0.58227003  17.769252            
-0.58149457  21.807719            
-0.58071911  24.230799            
-0.57994366  22.130796            
-0.5791682  26.169263            
-0.57839274  33.600041            
-0.57761729  35.215427            
-0.57684183  36.346198            
-0.57606637  39.253894            
-0.57529092  38.769278            
-0.57451546  45.069286            
-0.57374001  50.884677            
-0.57296455  46.523133            
-0.57218909  52.661602            
-0.57141364  45.876979            
-0.57063818  39.415433            
-0.56986272  46.846211            
-0.56908727  40.707742            
-0.56831181  37.638507            
-0.56753635  39.253894            
-0.5667609  41.515435            
-0.56598544  44.746208            
-0.56520998  46.361595            
-0.56443453  39.73851            
-0.56365907  38.769278            
-0.56288362  34.084657            
-0.56210816  34.730811            
-0.5613327  27.946188            
-0.56055725  28.91542            
-0.55978179  23.423105            
-0.55900633  23.100028            
-0.55823088  17.446175            
-0.55745542  17.284636            
-0.55667996  13.24617            
-0.55590451  11.953861            
-0.55512905  6.623085            
-0.55435359  6.7846236            
-0.55357814  4.3615438            
-0.55280268  5.4923144            
-0.55202723  1.9384639            
-0.55125177  1.7769252            
-0.55047631  1.2923093            
-0.54970086  0.96923195            
-0.5489254  0.16153866            
-0.54814994  0            
-0.54737449  0.16153866            
-0.54659903  0.16153866            
-0.54582357  0            
-0.54504812  0.16153866            
-0.54427266  0            
-0.5434972  0.32307732            
