Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
0.066263676  0.1651251            
0.06702229  0.1651251            
0.067780903  0            
0.068539517  0.1651251            
0.069298131  1.1558757            
0.070056745  0.99075061            
0.070815359  2.6420016            
0.071573973  1.9815012            
0.072332587  2.6420016            
0.0730912  3.1373769            
0.073849814  2.9722518            
0.074608428  4.788628            
0.075367042  3.6327522            
0.076125656  5.2840033            
0.07688427  6.439879            
0.077642884  7.1003794            
0.078401497  11.393632            
0.079160111  12.714633            
0.079918725  15.191509            
0.080677339  14.696134            
0.081435953  18.163761            
0.082194567  20.310388            
0.082953181  22.291889            
0.083711794  22.291889            
0.084470408  21.796513            
0.085229022  28.071267            
0.085987636  33.02502            
0.08674625  34.676271            
0.087504864  32.69477            
0.088263478  36.162397            
0.089022091  40.7859            
0.089780705  36.657773            
0.090539319  41.446401            
0.091297933  44.914028            
0.092056547  40.1254            
0.092815161  38.143899            
0.093573775  41.941776            
0.094332388  44.418652            
0.095091002  37.483398            
0.095849616  40.290525            
0.09660823  40.1254            
0.097366844  38.143899            
0.098125458  37.483398            
0.098884072  38.969524            
0.099642685  37.813648            
0.1004013  41.776651            
0.10115991  37.648523            
0.10191853  37.318273            
0.10267714  31.70402            
0.10343575  29.392268            
0.10419437  30.713269            
0.10495298  24.27339            
0.1057116  21.466263            
0.10647021  24.93389            
0.10722882  17.338136            
0.10798744  15.026384            
0.10874605  9.2470057            
0.10950467  10.402881            
0.11026328  5.9445037            
0.11102189  4.2932526            
0.11178051  3.9630024            
0.11253912  2.6420016            
0.11329773  1.9815012            
0.11405635  1.9815012            
0.11481496  0            
0.11557358  0.1651251            
0.11633219  0.3302502            
0.1170908  0            
0.11784942  0            
0.11860803  0.1651251            
