Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.83299994  0.11230289            
-0.83250646  0            
-0.83201297  0.22460579            
-0.83151948  0.44921158            
-0.83102599  0.44921158            
-0.83053251  0.44921158            
-0.83003902  1.010726            
-0.82954553  1.5722405            
-0.82905204  2.4706637            
-0.82855856  2.9198753            
-0.82806507  4.6044187            
-0.82757158  7.2996881            
-0.82707809  7.8612026            
-0.82658461  9.9949576            
-0.82609112  11.679501            
-0.82559763  15.947011            
-0.82510414  17.85616            
-0.82461066  19.316098            
-0.82411717  28.188026            
-0.82362368  30.321781            
-0.82313019  32.118628            
-0.82263671  38.632196            
-0.82214322  46.15649            
-0.82164973  44.022735            
-0.82115624  50.985514            
-0.82066276  49.076365            
-0.82016927  56.488356            
-0.81967578  56.937567            
-0.81918229  54.466904            
-0.8186888  55.926841            
-0.81819532  54.803812            
-0.81770183  63.900347            
-0.81720834  64.79877            
-0.81671485  62.552712            
-0.81622137  63.900347            
-0.81572788  66.258708            
-0.81523439  63.563438            
-0.8147409  67.157131            
-0.81424742  64.461861            
-0.81375393  62.889621            
-0.81326044  61.205077            
-0.81276695  56.26375            
-0.81227347  54.242298            
-0.81177998  50.873211            
-0.81128649  49.862485            
-0.810793  43.236614            
-0.81029952  36.498441            
-0.80980603  37.396864            
-0.80931254  33.241657            
-0.80881905  33.241657            
-0.80832557  29.760267            
-0.80783208  27.514209            
-0.80733859  24.706637            
-0.8068451  21.674459            
-0.80635162  22.460579            
-0.80585813  18.754583            
-0.80536464  15.497799            
-0.80487115  12.465621            
-0.80437766  9.8826547            
-0.80388418  10.556472            
-0.80339069  10.444169            
-0.8028972  11.005684            
-0.80240371  8.8719287            
-0.80191023  6.6258708            
-0.80141674  6.5135679            
-0.80092325  6.7381737            
-0.80042976  5.6151447            
-0.79993628  6.6258708            
-0.79944279  4.4921158            
-0.7989493  4.0429042            
-0.79845581  4.26751            
-0.79796233  2.8075724            
-0.79746884  3.3690868            
-0.79697535  1.6845434            
-0.79648186  1.4599376            
-0.79598838  1.5722405            
-0.79549489  0.78612026            
-0.7950014  0.67381737            
-0.79450791  1.5722405            
-0.79401443  1.2353318            
-0.79352094  1.3476347            
-0.79302745  0.44921158            
-0.79253396  0.33690868            
-0.79204048  0.56151447            
-0.79154699  0.22460579            
-0.7910535  0.22460579            
-0.79056001  0.11230289            
-0.79006652  0.22460579            
-0.78957304  0.33690868            
-0.78907955  0.22460579            
-0.78858606  0.44921158            
-0.78809257  0.33690868            
