Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.83405495  0.12842035            
-0.83352609  0.38526105            
-0.83299723  0.12842035            
-0.83246837  0.12842035            
-0.83193951  0.5136814            
-0.83141065  1.2842035            
-0.83088179  1.5410442            
-0.83035293  3.0820884            
-0.82982407  6.0357565            
-0.82929521  6.2925972            
-0.82876635  8.3473228            
-0.82823749  8.8610042            
-0.82770863  13.869398            
-0.82717977  15.282022            
-0.82665091  22.730402            
-0.82612205  24.271446            
-0.82559319  26.711433            
-0.82506433  29.793521            
-0.82453548  36.856641            
-0.82400662  38.397685            
-0.82347776  41.222932            
-0.8229489  41.608193            
-0.82242004  48.157631            
-0.82189118  49.570255            
-0.82136232  52.395503            
-0.82083346  52.010242            
-0.8203046  52.010242            
-0.81977574  56.633374            
-0.81924688  61.256507            
-0.81871802  59.458622            
-0.81818916  58.81652            
-0.8176603  59.073361            
-0.81713144  54.321808            
-0.81660258  58.174419            
-0.81607372  64.338595            
-0.81554486  62.41229            
-0.815016  61.513348            
-0.81448714  62.797551            
-0.81395828  53.808127            
-0.81342942  55.606012            
-0.81290057  53.422866            
-0.81237171  50.340777            
-0.81184285  48.928153            
-0.81131399  42.507136            
-0.81078513  37.370322            
-0.81025627  33.13245            
-0.80972741  34.416654            
-0.80919855  25.170389            
-0.80866969  21.83146            
-0.80814083  20.290415            
-0.80761197  19.006212            
-0.80708311  18.23569            
-0.80655425  15.924123            
-0.80602539  14.896761            
-0.80549653  12.456774            
-0.80496767  10.787309            
-0.80443881  11.686252            
-0.80390995  9.6315263            
-0.80338109  8.8610042            
-0.80285223  8.8610042            
-0.80232337  5.7789158            
-0.80179452  5.5220751            
-0.80126566  4.6231326            
-0.8007368  4.6231326            
-0.80020794  4.1094512            
-0.79967908  3.3389291            
-0.79915022  2.9536681            
-0.79862136  2.3115663            
-0.7980925  1.6694646            
-0.79756364  2.568407            
-0.79703478  1.4126239            
-0.79650592  1.2842035            
-0.79597706  0.89894245            
-0.7954482  0.38526105            
-0.79491934  0.64210175            
-0.79439048  0.12842035            
-0.79386162  0.38526105            
-0.79333276  0.2568407            
-0.7928039  0.12842035            
-0.79227504  0.12842035            
-0.79174618  0            
-0.79121732  0            
-0.79068846  0            
-0.79015961  0            
-0.78963075  0            
-0.78910189  0.12842035            
