Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.66825271  0.25289317            
-0.66737613  0.25289317            
-0.66649955  0.37933975            
-0.66562298  0.44256305            
-0.6647464  0.8219028            
-0.66386982  2.2128152            
-0.66299324  2.7186016            
-0.66211667  3.1611646            
-0.66124009  4.0462907            
-0.66036351  4.9946401            
-0.65948694  7.0810087            
-0.65861036  6.9545622            
-0.65773378  9.0409308            
-0.65685721  9.7996103            
-0.65598063  11.253746            
-0.65510405  11.316969            
-0.65422747  14.857474            
-0.6533509  18.334755            
-0.65247432  19.472774            
-0.65159774  20.674017            
-0.65072117  21.432696            
-0.64984459  21.053356            
-0.64896801  20.3579            
-0.64809144  19.915337            
-0.64721486  22.507492            
-0.64633828  22.064929            
-0.6454617  21.938482            
-0.64458513  25.92155            
-0.64370855  27.122792            
-0.64283197  26.680229            
-0.6419554  30.410404            
-0.64107882  31.169083            
-0.64020224  34.899257            
-0.63932567  33.950908            
-0.63844909  33.002559            
-0.63757251  32.433549            
-0.63669593  35.088927            
-0.63581936  34.836034            
-0.63494278  32.812889            
-0.6340662  31.674869            
-0.63318963  33.445122            
-0.63231305  33.761238            
-0.63143647  32.307102            
-0.6305599  29.967841            
-0.62968332  26.427336            
-0.62880674  24.088074            
-0.62793016  24.277744            
-0.62705359  20.484347            
-0.62617701  20.041784            
-0.62530043  17.765745            
-0.62442386  14.667804            
-0.62354728  12.328542            
-0.6226707  12.960775            
-0.62179413  9.736387            
-0.62091755  8.219028            
-0.62004097  9.4834939            
-0.61916439  7.0177855            
-0.61828782  6.7648923            
-0.61741124  5.626873            
-0.61653466  6.6384457            
-0.61565809  6.0062128            
-0.61478151  6.5752224            
-0.61390493  4.6785236            
-0.61302836  3.6037277            
-0.61215178  3.9830674            
-0.6112752  3.1611646            
-0.61039862  4.0462907            
-0.60952205  3.6037277            
-0.60864547  4.8681935            
-0.60776889  4.7417469            
-0.60689232  4.4256305            
-0.60601574  3.5405044            
-0.60513916  3.9830674            
-0.60426259  3.9198441            
-0.60338601  2.5289317            
-0.60250943  2.4024851            
-0.60163285  2.0863686            
-0.60075628  1.8334755            
-0.5998797  1.517359            
-0.59900312  1.2012426            
-0.59812655  1.1380193            
-0.59724997  0.69545622            
-0.59637339  0.37933975            
-0.59549682  0.56900963            
-0.59462024  0.44256305            
-0.59374366  0.56900963            
-0.59286708  0.25289317            
-0.59199051  0.31611646            
-0.59111393  0.18966988            
-0.59023735  0.063223292            
-0.58936078  0.063223292            
-0.5884842  0.063223292            
