Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.66863775  0.51283756            
-0.66787332  0.41959437            
-0.66710888  0.79256714            
-0.66634445  1.1189183            
-0.66558001  1.1189183            
-0.66481558  1.7716207            
-0.66405114  2.191215            
-0.66328671  3.2168901            
-0.66252227  2.9837822            
-0.66175784  4.615538            
-0.6609934  5.2682404            
-0.66022897  5.9675643            
-0.65946453  6.9932394            
-0.6587001  8.9513465            
-0.65793566  10.21013            
-0.65717122  11.422291            
-0.65640679  12.727696            
-0.65564235  12.867561            
-0.65487792  15.19864            
-0.65411348  19.347962            
-0.65334905  18.835125            
-0.65258461  22.518231            
-0.65182018  22.378366            
-0.65105574  22.19188            
-0.65029131  23.543906            
-0.64952687  21.352691            
-0.64876244  22.052015            
-0.647998  23.031069            
-0.64723357  22.891204            
-0.64646913  24.52296            
-0.6457047  23.497284            
-0.64494026  25.6885            
-0.64417583  28.206066            
-0.64341139  28.532417            
-0.64264696  29.138498            
-0.64188252  32.588496            
-0.64111809  32.914847            
-0.64035365  32.914847            
-0.63958922  36.271602            
-0.63882478  33.334441            
-0.63806034  34.593224            
-0.63729591  32.821604            
-0.63653147  33.520928            
-0.63576704  34.546603            
-0.6350026  31.049983            
-0.63423817  31.096605            
-0.63347373  29.371606            
-0.6327093  30.583767            
-0.63194486  29.231741            
-0.63118043  27.273634            
-0.63041599  24.989176            
-0.62965156  21.492556            
-0.62888712  21.02634            
-0.62812269  20.560124            
-0.62735825  19.767557            
-0.62659382  16.830396            
-0.62582938  16.224315            
-0.62506495  14.639181            
-0.62430051  13.473641            
-0.62353608  12.867561            
-0.62277164  10.769589            
-0.62200721  9.9770216            
-0.62124277  8.7182385            
-0.62047834  8.3918873            
-0.6197139  8.2054009            
-0.61894947  7.6925634            
-0.61818503  6.8999962            
-0.61742059  5.8276995            
-0.61665616  7.0864826            
-0.61589172  6.5736451            
-0.61512729  5.9675643            
-0.61436285  5.2216188            
-0.61359842  4.38243            
-0.61283398  4.6621596            
-0.61206955  3.3567549            
-0.61130511  4.2891868            
-0.61054068  3.9162141            
-0.60977624  3.9162141            
-0.60901181  3.8229709            
-0.60824737  4.615538            
-0.60748294  4.4756732            
-0.6067185  3.5898629            
-0.60595407  3.1702685            
-0.60518963  2.7506742            
-0.6044252  2.9837822            
-0.60366076  2.191215            
-0.60289633  2.0513502            
-0.60213189  1.9114854            
-0.60136746  1.4918911            
-0.60060302  1.0722967            
-0.59983859  1.5851343            
-0.59907415  1.0256751            
-0.59830971  1.2587831            
-0.59754528  1.1655399            
-0.59678084  0.51283756            
-0.59601641  0.46621596            
-0.59525197  0.60608075            
-0.59448754  0.23310798            
-0.5937231  0.37297277            
-0.59295867  0.18648638            
-0.59219423  0.27972958            
-0.5914298  0.13986479            
-0.59066536  0.046621596            
-0.58990093  0.13986479            
-0.58913649  0.046621596            
-0.58837206  0.046621596            
