Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
0.14462471  0.16372893            
0.14592173  0.4911868            
0.14721875  0.16372893            
0.14851576  0.65491573            
0.14981278  1.1461025            
0.1511098  1.1461025            
0.15240682  2.1284761            
0.15370383  3.7657655            
0.15500085  7.6952599            
0.15629787  8.3501756            
0.15759489  9.6600071            
0.1588919  12.27967            
0.16018892  14.244417            
0.16148594  14.735604            
0.16278296  20.302388            
0.16407997  20.957303            
0.16537699  20.793575            
0.16667401  25.214256            
0.16797103  26.524087            
0.16926804  23.576966            
0.17056506  25.050527            
0.17186208  27.997648            
0.1731591  28.161377            
0.17445612  26.524087            
0.17575313  28.816292            
0.17705015  24.068153            
0.17834717  28.980021            
0.17964419  32.090871            
0.1809412  33.400702            
0.18223822  31.927142            
0.18353524  35.36545            
0.18483226  29.14375            
0.18612927  27.506461            
0.18742629  23.576966            
0.18872331  21.44849            
0.19002033  18.010183            
0.19131734  12.934586            
0.19261436  13.262044            
0.19391138  10.151194            
0.1952084  11.297296            
0.19650542  7.5315309            
0.19780243  5.2393259            
0.19909945  5.8942416            
0.20039647  4.7481391            
0.20169349  6.0579705            
0.2029905  7.367802            
0.20428752  6.7128863            
0.20558454  4.7481391            
0.20688156  4.7481391            
0.20817857  2.7833919            
0.20947559  4.0932233            
0.21077261  1.8010183            
0.21206963  1.6372893            
0.21336664  2.1284761            
0.21466366  0.65491573            
0.21596068  0.81864467            
0.2172577  0.16372893            
0.21855471  0.16372893            
