Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
0.14166713  0.1488568            
0.14257963  0.2232852            
0.14349214  0.1488568            
0.14440464  0.2232852            
0.14531715  0.2232852            
0.14622966  0.372142            
0.14714216  0.4465704            
0.14805467  0.59542721            
0.14896717  2.1584236            
0.14987968  1.7862816            
0.15079218  2.9027076            
0.15170469  3.1259928            
0.15261719  4.9867029            
0.1535297  4.2424188            
0.1544422  5.5077017            
0.15535471  9.5268353            
0.15626722  8.7081229            
0.15717972  11.238689            
0.15809223  12.5784            
0.15900473  12.5784            
0.15991724  16.29982            
0.16082974  17.490674            
0.16174225  19.276956            
0.16265475  20.914381            
0.16356726  18.532672            
0.16447977  20.988809            
0.16539227  21.286523            
0.16630478  24.18923            
0.16721728  24.412515            
0.16812979  26.422082            
0.16904229  24.114802            
0.1699548  27.240795            
0.1708673  26.198797            
0.17177981  29.994646            
0.17269232  28.357221            
0.17360482  27.166366            
0.17451733  28.952648            
0.17542983  26.943081            
0.17634234  29.175933            
0.17725484  28.431649            
0.17816735  29.994646            
0.17907985  26.719796            
0.17999236  27.612937            
0.18090487  28.059507            
0.18181737  26.645367            
0.18272988  29.399218            
0.18364238  26.645367            
0.18455489  26.273225            
0.18546739  28.282792            
0.1863799  26.794224            
0.1872924  21.807521            
0.18820491  21.063237            
0.18911742  19.425813            
0.19002992  17.862816            
0.19094243  15.108965            
0.19185493  13.918111            
0.19276744  12.206258            
0.19367994  12.280686            
0.19459245  9.6756921            
0.19550495  10.196691            
0.19641746  6.4008425            
0.19732996  8.4848377            
0.19824247  8.0382673            
0.19915498  5.3588449            
0.20006748  6.4008425            
0.20097999  6.7729845            
0.20189249  5.7309869            
0.202805  4.3168472            
0.2037175  4.6889893            
0.20463001  6.5496993            
0.20554251  4.465704            
0.20645502  4.3168472            
0.20736753  4.3168472            
0.20828003  3.2004212            
0.20919254  3.8702768            
0.21010504  4.5401324            
0.21101755  2.0095668            
0.21193005  2.604994            
0.21284256  1.5629964            
0.21375506  0.96756921            
0.21466757  1.1908544            
0.21558008  0.81871241            
0.21649258  0.66985561            
0.21740509  0.2232852            
0.21831759  0.1488568            
0.2192301  0.1488568            
