Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.83754539  0.076825976            
-0.83682402  0            
-0.83610265  0            
-0.83538128  0            
-0.83465991  0.076825976            
-0.83393854  0            
-0.83321716  0.38412988            
-0.83249579  0.69143378            
-0.83177442  1.1523896            
-0.83105305  0.61460781            
-0.83033168  1.3060416            
-0.82961031  1.0755637            
-0.82888893  0.92191171            
-0.82816756  2.2279533            
-0.82744619  2.0743013            
-0.82672482  2.5352572            
-0.82600345  3.4571689            
-0.82528208  5.8387742            
-0.8245607  7.5289456            
-0.82383933  11.062941            
-0.82311796  12.829938            
-0.82239659  15.826151            
-0.82167522  18.976016            
-0.82095385  24.123356            
-0.82023247  32.420562            
-0.8195111  34.725341            
-0.81878973  40.410463            
-0.81806836  45.480978            
-0.81734699  45.941934            
-0.81662562  52.548968            
-0.81590424  50.858796            
-0.81518287  55.622007            
-0.8144615  59.616957            
-0.81374013  60.692521            
-0.81301876  54.085487            
-0.81229739  60.999825            
-0.81157601  60.538869            
-0.81085464  57.46583            
-0.81013327  52.395316            
-0.8094119  55.007399            
-0.80869053  47.324801            
-0.80796916  45.096848            
-0.80724778  36.569165            
-0.80652641  31.729128            
-0.80580504  28.732915            
-0.80508367  27.734177            
-0.8043623  22.279533            
-0.80364093  23.431923            
-0.80291955  18.51506            
-0.80219818  17.823626            
-0.80147681  16.978541            
-0.80075544  13.828676            
-0.80003407  10.678811            
-0.7993127  12.98359            
-0.79859132  11.370244            
-0.79786995  9.603247            
-0.79714858  5.9924261            
-0.79642721  5.9924261            
-0.79570584  5.3778183            
-0.79498447  5.5314703            
-0.79426309  6.0692521            
-0.79354172  4.8400365            
-0.79282035  4.3790806            
-0.79209898  3.5339949            
-0.79137761  3.226691            
-0.79065623  3.9949507            
-0.78993486  2.8425611            
-0.78921349  3.5339949            
-0.78849212  1.9206494            
-0.78777075  1.3060416            
-0.78704938  1.2292156            
-0.786328  0.99873769            
-0.78560663  0.76825976            
-0.78488526  0.53778183            
-0.78416389  0.53778183            
-0.78344252  1.0755637            
-0.78272115  1.1523896            
-0.78199977  1.2292156            
-0.7812784  0.76825976            
-0.78055703  1.6901715            
-0.77983566  1.2292156            
-0.77911429  1.9974754            
-0.77839292  1.6133455            
-0.77767154  0.99873769            
-0.77695017  1.6133455            
-0.7762288  1.2292156            
-0.77550743  0.92191171            
-0.77478606  0.61460781            
-0.77406469  0.53778183            
-0.77334331  0.46095586            
-0.77262194  0.076825976            
-0.77190057  0.15365195            
