Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.83630204  0.3550089            
-0.83544552  0.2366726            
-0.83458899  0.4733452            
-0.83373246  0.5916815            
-0.83287594  0.7100178            
-0.83201941  0.9466904            
-0.83116288  2.366726            
-0.83030636  3.550089            
-0.82944983  3.0767438            
-0.8285933  3.0767438            
-0.82773678  6.1534876            
-0.82688025  5.7984787            
-0.82602372  6.9818417            
-0.8251672  11.715294            
-0.82431067  11.83363            
-0.82345414  18.22379            
-0.82259761  17.750445            
-0.82174109  27.809031            
-0.82088456  41.536041            
-0.82002803  43.074413            
-0.81917151  43.784431            
-0.81831498  55.736397            
-0.81745845  60.824858            
-0.81660193  56.091406            
-0.8157454  63.191584            
-0.81488887  63.073248            
-0.81403235  60.233177            
-0.81317582  55.736397            
-0.81231929  55.736397            
-0.81146277  50.5296            
-0.81060624  46.151157            
-0.80974971  38.577634            
-0.80889319  33.370837            
-0.80803666  32.779155            
-0.80718013  25.560641            
-0.80632361  25.797313            
-0.80546708  22.010552            
-0.80461055  18.578799            
-0.80375403  17.750445            
-0.8028975  15.975401            
-0.80204097  13.372002            
-0.80118445  13.963683            
-0.80032792  11.596957            
-0.79947139  10.295258            
-0.79861487  8.283541            
-0.79775834  5.5618061            
-0.79690181  6.5084965            
-0.79604529  3.550089            
-0.79518876  2.9584075            
-0.79433223  3.6684253            
-0.79347571  2.9584075            
-0.79261918  3.0767438            
-0.79176265  2.2483897            
-0.79090613  1.4200356            
-0.7900496  2.0117171            
-0.78919307  1.8933808            
-0.78833655  1.6567082            
-0.78748002  1.6567082            
-0.78662349  1.6567082            
-0.78576697  1.0650267            
-0.78491044  1.3016993            
-0.78405391  1.4200356            
-0.78319739  1.5383719            
-0.78234086  1.5383719            
-0.78148433  2.4850623            
-0.78062781  2.366726            
-0.77977128  1.7750445            
-0.77891475  1.8933808            
-0.77805823  1.3016993            
-0.7772017  1.7750445            
-0.77634517  1.183363            
-0.77548865  1.0650267            
-0.77463212  0.2366726            
-0.77377559  0.1183363            
-0.77291907  0.3550089            
