Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.026851892  0.058623682            
-0.026030416  0.17587104            
-0.02520894  0.17587104            
-0.024387464  0.17587104            
-0.023565988  0.23449473            
-0.022744512  0.76210786            
-0.021923035  0.41036577            
-0.021101559  1.1724736            
-0.020280083  1.3483447            
-0.019458607  1.11385            
-0.018637131  2.0518289            
-0.017815654  2.1104525            
-0.016994178  2.9311841            
-0.016172702  3.9277867            
-0.015351226  4.7485182            
-0.01452975  4.9830129            
-0.013708274  5.9209918            
-0.012886797  7.0934655            
-0.012065321  8.5004338            
-0.011243845  9.8487785            
-0.010422369  11.900607            
-0.0096008927  14.597297            
-0.0087794165  15.887018            
-0.0079579403  21.397644            
-0.0071364641  21.573515            
-0.0063149879  25.677173            
-0.0054935118  30.542938            
-0.0046720356  31.598164            
-0.0038505594  34.646596            
-0.0030290832  38.281264            
-0.002207607  38.22264            
-0.0013861308  42.384922            
-0.00056465467  41.681438            
0.00025682151  45.726472            
0.0010782977  46.312708            
0.0018997739  43.616019            
0.0027212501  46.429956            
0.0035427262  44.729869            
0.0043642024  46.429956            
0.0051856786  46.840322            
0.0060071548  43.557395            
0.006828631  40.391717            
0.0076501071  37.226038            
0.0084715833  35.115585            
0.0092930595  32.594767            
0.010114536  30.425691            
0.010936012  27.611754            
0.011757488  24.035709            
0.012578964  24.211581            
0.01340044  19.756181            
0.014221917  17.704352            
0.015043393  16.121512            
0.015864869  12.779963            
0.016686345  11.607489            
0.017507821  9.9074022            
0.018329298  8.6763049            
0.019150774  8.3245628            
0.01997225  6.9175944            
0.020793726  5.2175077            
0.021615202  5.158884            
0.022436678  4.9830129            
0.023258155  4.8071419            
0.024079631  4.045034            
0.024901107  4.5726472            
0.025722583  3.3415499            
0.026544059  3.5174209            
0.027365535  2.9898078            
0.028187012  1.9345815            
0.029008488  1.4069684            
0.029829964  2.0518289            
0.03065144  1.4069684            
0.031472916  1.3483447            
0.032294393  1.0552263            
0.033115869  0.82073154            
0.033937345  1.4069684            
0.034758821  0.99660259            
0.035580297  1.289721            
0.036401773  0.41036577            
0.03722325  1.11385            
0.038044726  0.76210786            
0.038866202  0.87935522            
0.039687678  0.87935522            
0.040509154  0.76210786            
0.041330631  1.11385            
0.042152107  1.11385            
0.042973583  1.11385            
0.043795059  0.82073154            
0.044616535  0.52761313            
0.045438011  0.70348418            
0.046259488  0.52761313            
0.047080964  0.058623682            
0.04790244  0.41036577            
0.048723916  0.29311841            
0.049545392  0.23449473            
0.050366869  0            
0.051188345  0.058623682            
