z       ρ           
[V]     [V<sup>-1</sup>]         
-1.0978746  0.80879761            
-1.0974477  1.0783968            
-1.0970208  1.8871944            
-1.0965938  2.1567936            
-1.0961669  4.0439881            
-1.09574  5.6615833            
-1.095313  4.8527857            
-1.0948861  6.2007817            
-1.0944592  5.9311825            
-1.0940322  5.3919841            
-1.0936053  8.8967737            
-1.0931784  6.4703809            
-1.0927514  8.3575753            
-1.0923245  10.24477            
-1.0918976  13.47996            
-1.0914706  12.671163            
-1.0910437  12.131964            
-1.0906167  16.175952            
-1.0901898  16.715151            
-1.0897629  23.72473            
-1.0893359  26.690321            
-1.088909  31.273508            
-1.0884821  34.778297            
-1.0880551  47.988658            
-1.0876282  46.640662            
-1.0872013  42.057476            
-1.0867743  55.267837            
-1.0863474  56.885432            
-1.0859205  63.625412            
-1.0854935  70.095793            
-1.0850666  64.703809            
-1.0846397  68.208599            
-1.0842127  62.816615            
-1.0837858  67.399801            
-1.0833589  67.6694            
-1.0829319  69.286996            
-1.082505  67.6694            
-1.0820781  86.810944            
-1.0816511  79.531765            
-1.0812242  74.67898            
-1.0807972  83.306154            
-1.0803703  76.026976            
-1.0799434  70.365392            
-1.0795164  68.208599            
-1.0790895  61.468619            
-1.0786626  73.870182            
-1.0782356  60.659821            
-1.0778087  49.336654            
-1.0773818  52.841444            
-1.0769548  53.380642            
-1.0765279  47.44946            
-1.076101  43.675071            
-1.075674  43.135873            
-1.0752471  45.023067            
-1.0748202  40.979079            
-1.0743932  31.543107            
-1.0739663  18.063147            
-1.0735394  17.793547            
-1.0731124  15.097555            
-1.0726855  9.4359722            
-1.0722586  7.2791785            
-1.0718316  8.6271745            
-1.0714047  2.695992            
-1.0709777  4.0439881            
-1.0705508  1.347996            
-1.0701239  2.1567936            
-1.0696969  1.0783968            
-1.06927  0.2695992            
-1.0688431  0.2695992            
-1.0684161  0.80879761            
-1.0679892  0            
-1.0675623  1.0783968            
