z       ρ           
[V]     [V<sup>-1</sup>]         
-1.0979366  1.4328811            
-1.0973988  0.95525409            
-1.096861  1.4328811            
-1.0963232  0.47762705            
-1.0957854  3.3433893            
-1.0952476  5.7315245            
-1.0947098  8.5972868            
-1.094172  9.5525409            
-1.0936342  12.89593            
-1.0930964  14.328811            
-1.0925586  17.672201            
-1.0920208  13.373557            
-1.0914829  13.851184            
-1.0909451  22.448471            
-1.0904073  25.314233            
-1.0898695  32.001012            
-1.0893317  36.299655            
-1.0887939  41.075926            
-1.0882561  46.80745            
-1.0877183  43.941688            
-1.0871805  59.225754            
-1.0866427  51.106094            
-1.0861049  72.599311            
-1.0855671  65.434905            
-1.0850293  76.897954            
-1.0844914  75.465073            
-1.0839536  75.9427            
-1.0834158  69.733549            
-1.082878  82.629479            
-1.0823402  77.853208            
-1.0818024  69.733549            
-1.0812646  64.957278            
-1.0807268  76.897954            
-1.080189  70.688803            
-1.0796512  55.882364            
-1.0791134  54.449483            
-1.0785756  57.792872            
-1.0780378  61.613889            
-1.0775  59.225754            
-1.0769621  52.061348            
-1.0764243  40.120672            
-1.0758865  36.777282            
-1.0753487  26.747115            
-1.0748109  23.881352            
-1.0742731  21.493217            
-1.0737353  9.5525409            
-1.0731975  6.6867786            
-1.0726597  2.8657623            
-1.0721219  2.8657623            
-1.0715841  4.2986434            
-1.0710463  0.47762705            
-1.0705085  0.47762705            
-1.0699707  0.47762705            
-1.0694328  0.47762705            
-1.068895  0.47762705            
