Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-1.0060036  0.12194793            
-1.0055981  0.12194793            
-1.0051925  0.1829219            
-1.004787  0.1829219            
-1.0043814  0.54876569            
-1.0039759  0.42681776            
-1.0035703  0.48779173            
-1.0031648  0.48779173            
-1.0027592  0.73168759            
-1.0023537  0.48779173            
-1.0019481  0.85363552            
-1.0015426  1.0365574            
-1.001137  1.707271            
-1.0007315  1.829219            
-1.0003259  2.9877243            
-0.99992037  2.1950628            
-0.99951482  2.5609066            
-0.99910927  3.4145421            
-0.99870372  3.8413599            
-0.99829817  4.5730474            
-0.99789262  6.0364226            
-0.99748707  7.0120061            
-0.99708152  7.7436937            
-0.99667597  11.52408            
-0.99627042  9.9387565            
-0.99586487  11.585054            
-0.99545932  13.719142            
-0.99505377  16.462971            
-0.99464822  19.023877            
-0.99424267  18.29219            
-0.99383712  22.682315            
-0.99343157  24.023743            
-0.99302602  27.499259            
-0.99262047  30.121139            
-0.99221492  33.352759            
-0.99180937  36.157562            
-0.99140382  38.718468            
-0.99099827  44.084177            
-0.99059272  47.19385            
-0.99018717  46.096318            
-0.98978162  50.242548            
-0.98937607  50.913262            
-0.98897052  54.205856            
-0.98856497  56.096049            
-0.98815942  59.510591            
-0.98775387  61.03494            
-0.98734832  65.425065            
-0.98694277  69.205451            
-0.98653722  63.65682            
-0.98613167  65.729935            
-0.98572612  64.510456            
-0.98532057  64.937274            
-0.98491502  64.205586            
-0.98450947  64.998248            
-0.98410392  64.205586            
-0.98369837  64.510456            
-0.98329282  66.339675            
-0.98288727  59.083773            
-0.98248172  57.437476            
-0.98207617  55.730205            
-0.98167062  57.681372            
-0.98126507  54.998517            
-0.98085952  53.04735            
-0.98045397  50.242548            
-0.98004842  45.181709            
-0.97964287  45.608527            
-0.97923732  40.181844            
-0.97883177  39.450156            
-0.97842622  31.950358            
-0.97802067  31.035749            
-0.97761512  31.218671            
-0.97720957  28.718738            
-0.97680402  26.767571            
-0.97639847  23.048159            
-0.97599292  20.060435            
-0.97558737  19.389721            
-0.97518182  17.560502            
-0.97477627  17.133684            
-0.97437072  14.511804            
-0.97396517  10.792392            
-0.97355962  12.072845            
-0.97315407  10.670444            
-0.97274852  7.9875895            
-0.97234297  7.9875895            
-0.97193742  6.8900582            
-0.97153187  6.5851883            
-0.97112632  5.426683            
-0.97072077  4.3291516            
-0.97031522  4.3901256            
-0.96990967  3.3535681            
-0.96950412  2.3170107            
-0.96909857  2.7438285            
-0.96869302  1.707271            
-0.96828747  1.4024012            
-0.96788192  1.5853231            
-0.96747637  0.3658438            
-0.96707082  0.79266156            
-0.96666527  0.67071363            
-0.96625972  0.42681776            
-0.96585417  0.12194793            
-0.96544862  0.54876569            
-0.96504307  0.54876569            
-0.96463752  0.1829219            
-0.96423197  0.30486983            
-0.96382642  0.3658438            
-0.96342087  0.1829219            
-0.96301532  0.1829219            
-0.96260977  0.1829219            
-0.96220422  0.24389586            
-0.96179867  0.060973966            
-0.96139312  0.12194793            
-0.96098757  0            
-0.96058202  0.060973966            
-0.96017647  0            
-0.95977092  0.12194793            
-0.95936537  0.060973966            
-0.95895982  0.060973966            
-0.95855427  0            
-0.95814872  0            
-0.95774317  0.12194793            
