Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.59633017  0.062640461            
-0.59574828  0            
-0.59516639  0.18792138            
-0.5945845  0            
-0.59400261  0            
-0.59342072  0.062640461            
-0.59283883  0.12528092            
-0.59225694  0            
-0.59167505  0.50112369            
-0.59109317  0.56376415            
-0.59051128  0.62640461            
-0.58992939  0.43848323            
-0.5893475  0.3132023            
-0.58876561  0.62640461            
-0.58818372  0.25056184            
-0.58760183  0.56376415            
-0.58701994  0.75168553            
-0.58643805  0.75168553            
-0.58585617  0.56376415            
-0.58527428  0.93960691            
-0.58469239  1.3154497            
-0.5841105  1.5033711            
-0.58352861  1.0648878            
-0.58294672  1.3780901            
-0.58236483  2.2550566            
-0.58178294  1.7539329            
-0.58120105  2.6308994            
-0.58061916  3.132023            
-0.58003728  4.9485964            
-0.57945539  5.6376415            
-0.5788735  6.7025293            
-0.57829161  8.3311813            
-0.57770972  10.147755            
-0.57712783  12.152249            
-0.57654594  15.158992            
-0.57596405  18.478936            
-0.57538216  23.302251            
-0.57480028  26.496915            
-0.57421839  29.441017            
-0.5736365  34.640175            
-0.57305461  41.467985            
-0.57247272  46.792424            
-0.57189083  47.105627            
-0.57130894  56.000572            
-0.57072705  55.75001            
-0.57014516  61.387652            
-0.56956328  64.958158            
-0.56898139  68.841866            
-0.5683995  66.837372            
-0.56781761  66.58681            
-0.56723572  71.096923            
-0.56665383  72.161811            
-0.56607194  66.900012            
-0.56549005  65.709843            
-0.56490816  59.82164            
-0.56432627  62.014056            
-0.56374439  59.445797            
-0.5631625  52.430066            
-0.56258061  48.98484            
-0.56199872  47.732031            
-0.56141683  42.720794            
-0.56083494  37.271074            
-0.56025305  34.201692            
-0.55967116  31.445511            
-0.55908927  24.49242            
-0.55850739  21.924161            
-0.5579255  20.044947            
-0.55734361  14.845789            
-0.55676172  13.029216            
-0.55617983  13.718261            
-0.55559794  10.022474            
-0.55501605  8.707024            
-0.55443416  8.1432599            
-0.55385227  6.2640461            
-0.55327039  5.575001            
-0.5526885  5.1365178            
-0.55210661  3.1946635            
-0.55152472  3.257304            
-0.55094283  2.2550566            
-0.55036094  2.0671352            
-0.54977905  1.8792138            
-0.54919716  1.6912924            
-0.54861527  1.1275283            
-0.54803339  0.68904507            
-0.5474515  1.2528092            
-0.54686961  0.68904507            
-0.54628772  0.37584276            
-0.54570583  0.43848323            
-0.54512394  0.50112369            
-0.54454205  0.43848323            
-0.54396016  0.25056184            
-0.54337827  0.3132023            
-0.54279638  0.062640461            
-0.5422145  0.12528092            
-0.54163261  0.062640461            
-0.54105072  0.062640461            
-0.54046883  0.12528092            
-0.53988694  0.18792138            
-0.53930505  0            
-0.53872316  0.062640461            
-0.53814127  0            
-0.53755938  0            
-0.5369775  0            
-0.53639561  0            
-0.53581372  0.062640461            
