z       ρ           
[V]     [V<sup>-1</sup>]         
-1.0622299  0.017047038            
-1.0607555  0.034094076            
-1.059281  0.017047038            
-1.0578066  0            
-1.0563322  0.051141114            
-1.0548578  0.068188153            
-1.0533834  0.13637631            
-1.0519089  0.15342334            
-1.0504345  0.2216115            
-1.0489601  0.20456446            
-1.0474857  0.13637631            
-1.0460113  0.18751742            
-1.0445368  0.49436411            
-1.0430624  0.73302264            
-1.041588  0.7159756            
-1.0401136  0.95463414            
-1.0386392  1.1080575            
-1.0371648  1.5512805            
-1.0356903  2.5400087            
-1.0342159  1.9433623            
-1.0327415  3.3071254            
-1.0312671  3.8696777            
-1.0297927  4.8754529            
-1.0283182  5.7107578            
-1.0268438  7.2790853            
-1.0253694  7.7734494            
-1.023895  10.040705            
-1.0224206  10.603258            
-1.0209462  11.319233            
-1.0194717  12.580714            
-1.0179973  13.29669            
-1.0165229  14.524076            
-1.0150485  14.626359            
-1.0135741  15.853745            
-1.0120996  16.842474            
-1.0106252  17.848249            
-1.0091508  17.967578            
-1.0076764  19.518859            
-1.006202  20.166646            
-1.0047275  20.251881            
-1.0032531  20.524634            
-1.0017787  21.376986            
-1.0003043  21.837256            
-0.99882987  20.439399            
-0.99735546  19.024495            
-0.99588104  20.388258            
-0.99440662  20.285975            
-0.9929322  19.518859            
-0.99145778  18.939259            
-0.98998336  19.808658            
-0.98850894  16.995897            
-0.98703453  16.672003            
-0.98556011  15.274146            
-0.98408569  13.552395            
-0.98261127  12.342056            
-0.98113685  11.677221            
-0.97966243  10.841916            
-0.97818801  10.381646            
-0.9767136  8.7280835            
-0.97523918  8.8133187            
-0.97376476  7.2961323            
-0.97229034  7.0745208            
-0.97081592  6.27331            
-0.9693415  4.7049825            
-0.96786708  5.5743815            
-0.96639267  5.0970644            
-0.96491825  4.1083362            
-0.96344383  3.8867247            
-0.96196941  3.3241724            
-0.96049499  3.3412195            
-0.95902057  2.7104791            
-0.95754615  3.136655            
-0.95607174  2.7786672            
-0.95459732  2.3183972            
-0.9531229  2.5229616            
-0.95164848  2.1479268            
-0.95017406  2.4206794            
-0.94869964  1.9092683            
-0.94722522  2.0456446            
-0.94575081  1.6535627            
-0.94427639  1.6024216            
-0.94280197  1.6024216            
-0.94132755  1.806986            
-0.93985313  1.5853745            
-0.93837871  1.1421516            
-0.93690429  0.98872821            
-0.93542988  1.1762456            
-0.93395546  0.86939894            
-0.93248104  0.75006968            
-0.93100662  0.7159756            
-0.9295322  0.76711672            
-0.92805778  0.76711672            
-0.92658336  0.40912892            
-0.92510895  0.42617595            
-0.92363453  0.40912892            
-0.92216011  0.42617595            
-0.92068569  0.3579878            
-0.91921127  0.20456446            
-0.91773685  0.15342334            
-0.91626243  0.17047038            
-0.91478802  0.051141114            
-0.9133136  0.068188153            
-0.91183918  0.017047038            
-0.91036476  0.13637631            
-0.90889034  0.085235191            
-0.90741592  0.017047038            
-0.9059415  0.068188153            
-0.90446709  0.034094076            
-0.90299267  0.068188153            
-0.90151825  0            
-0.90004383  0            
-0.89856941  0            
-0.89709499  0.034094076            
-0.89562057  0            
-0.89414616  0.017047038            
-0.89267174  0            
-0.89119732  0            
-0.8897229  0            
-0.88824848  0.034094076            
