Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.94685674  0.049030042            
-0.9452572  0.024515021            
-0.94365767  0.073545063            
-0.94205814  0.049030042            
-0.9404586  0.098060084            
-0.93885907  0.098060084            
-0.93725953  0.098060084            
-0.93566  0.14709013            
-0.93406046  0.26966523            
-0.93246093  0.12257511            
-0.9308614  0.26966523            
-0.92926186  0.098060084            
-0.92766233  0.31869527            
-0.92606279  0.58836051            
-0.92446326  0.53933046            
-0.92286373  0.90705578            
-0.92126419  0.90705578            
-0.91966466  1.201236            
-0.91806512  1.5199313            
-0.91646559  2.0102317            
-0.91486606  2.4515021            
-0.91326652  3.1624377            
-0.91166699  3.7017682            
-0.91006745  4.3881888            
-0.90846792  5.3933046            
-0.90686839  6.3493905            
-0.90526885  8.089957            
-0.90366932  9.315708            
-0.90206978  10.100189            
-0.90047025  11.17885            
-0.89887072  12.992961            
-0.89727118  15.027708            
-0.89567165  15.836704            
-0.89407211  17.136            
-0.89247258  18.116601            
-0.89087305  18.092086            
-0.88927351  18.435296            
-0.88767398  19.195261            
-0.88607444  19.808137            
-0.88447491  20.053287            
-0.88287538  20.421013            
-0.88127584  22.210609            
-0.87967631  21.401613            
-0.87807677  21.082918            
-0.87647724  19.636532            
-0.87487771  18.484326            
-0.87327817  18.312721            
-0.87167864  18.827536            
-0.8700791  18.974626            
-0.86847957  16.817304            
-0.86688003  14.341287            
-0.8652805  15.003193            
-0.86368097  13.385201            
-0.86208143  12.453631            
-0.8604819  12.331056            
-0.85888236  12.380086            
-0.85728283  11.57109            
-0.8556833  9.4382831            
-0.85408376  8.8008926            
-0.85248423  7.5996565            
-0.85088469  7.6732016            
-0.84928516  6.4719656            
-0.84768563  6.0061802            
-0.84608609  6.3003604            
-0.84448656  5.0991244            
-0.84288702  4.4862489            
-0.84128749  3.505648            
-0.83968796  3.530163            
-0.83808842  2.6966523            
-0.83648889  2.6476223            
-0.83488935  1.9612017            
-0.83328982  1.7405665            
-0.83169029  1.6915365            
-0.83009075  1.4463862            
-0.82849122  1.0786609            
-0.82689168  1.0051159            
-0.82529215  0.95608582            
-0.82369262  0.83351072            
-0.82209308  0.83351072            
-0.82049355  0.49030042            
-0.81889401  0.66190557            
-0.81729448  0.68642059            
-0.81569495  0.34321029            
-0.81409541  0.17160515            
-0.81249588  0.29418025            
-0.81089634  0.073545063            
-0.80929681  0.17160515            
-0.80769728  0            
-0.80609774  0.049030042            
-0.80449821  0.098060084            
-0.80289867  0.12257511            
-0.80129914  0.073545063            
-0.79969961  0.073545063            
-0.79810007  0.073545063            
-0.79650054  0.049030042            
-0.794901  0            
-0.79330147  0            
-0.79170193  0            
-0.7901024  0.024515021            
-0.78850287  0.024515021            
-0.78690333  0.024515021            
-0.7853038  0            
-0.78370426  0.024515021            
