z       ρ           
[V]     [V<sup>-1</sup>]         
-0.95442414  0.015337833            
-0.95306381  0.015337833            
-0.95170347  0            
-0.95034313  0.030675666            
-0.94898279  0.046013499            
-0.94762246  0.061351332            
-0.94626212  0.061351332            
-0.94490178  0.10736483            
-0.94354144  0.10736483            
-0.9421811  0.15337833            
-0.94082077  0.076689165            
-0.93946043  0.16871616            
-0.93810009  0.19939183            
-0.93673975  0.15337833            
-0.93537942  0.15337833            
-0.93401908  0.29141883            
-0.93265874  0.38344582            
-0.9312984  0.33743232            
-0.92993807  0.35277016            
-0.92857773  0.42945932            
-0.92721739  0.59817548            
-0.92585705  0.85891864            
-0.92449672  0.81290514            
-0.92313638  1.4110806            
-0.92177604  1.3343915            
-0.9204157  1.7638508            
-0.91905537  2.1472966            
-0.91769503  2.5307424            
-0.91633469  3.2362827            
-0.91497435  3.6197286            
-0.91361402  4.4633094            
-0.91225368  5.2608767            
-0.91089334  5.9204035            
-0.909533  7.2394571            
-0.90817267  7.71493            
-0.90681233  9.5554699            
-0.90545199  10.629118            
-0.90409165  11.917496            
-0.90273132  13.58932            
-0.90137098  13.957428            
-0.90001064  14.801009            
-0.8986503  16.779589            
-0.89728997  18.558778            
-0.89592963  18.834859            
-0.89456929  18.773507            
-0.89320895  20.73675            
-0.89184861  20.966818            
-0.89048828  20.690737            
-0.88912794  20.368642            
-0.8877676  21.058845            
-0.88640726  21.626344            
-0.88504693  20.429993            
-0.88368659  20.046548            
-0.88232625  21.150872            
-0.88096591  21.611007            
-0.87960558  20.491345            
-0.87824524  19.801142            
-0.8768849  18.113981            
-0.87552456  18.742832            
-0.87416423  16.104725            
-0.87280389  17.48513            
-0.87144355  15.982022            
-0.87008321  16.028035            
-0.86872288  14.463576            
-0.86736254  13.251888            
-0.8660022  12.116888            
-0.86464186  12.469658            
-0.86328153  10.629118            
-0.86192119  9.9542536            
-0.86056085  10.015605            
-0.85920051  9.6014834            
-0.85784018  9.1873619            
-0.85647984  7.8683083            
-0.8551195  7.6075651            
-0.85375916  6.6719573            
-0.85239883  5.9050657            
-0.85103849  5.6289847            
-0.84967815  5.4756063            
-0.84831781  4.1412149            
-0.84695748  4.5399985            
-0.84559714  4.3406067            
-0.8442368  3.7731069            
-0.84287646  2.9755396            
-0.84151612  2.8068234            
-0.84015579  2.4693911            
-0.83879545  2.3160128            
-0.83743511  1.8558778            
-0.83607477  1.5491211            
-0.83471444  1.4264185            
-0.8333541  1.1810131            
-0.83199376  1.4110806            
-0.83063342  1.0889861            
-0.82927309  1.0583105            
-0.82791275  0.69020248            
-0.82655241  0.67486465            
-0.82519207  0.58283765            
-0.82383174  0.61351332            
-0.8224714  0.49081065            
-0.82111106  0.53682415            
-0.81975072  0.39878366            
-0.81839039  0.36810799            
-0.81703005  0.41412149            
-0.81566971  0.24540533            
-0.81430937  0.12270266            
-0.81294904  0.21472966            
-0.8115887  0.18405399            
-0.81022836  0.10736483            
-0.80886802  0.15337833            
-0.80750769  0.015337833            
-0.80614735  0.046013499            
-0.80478701  0.12270266            
-0.80342667  0.076689165            
-0.80206634  0.046013499            
-0.800706  0.076689165            
-0.79934566  0.076689165            
-0.79798532  0.046013499            
-0.79662499  0.046013499            
-0.79526465  0            
-0.79390431  0            
-0.79254397  0            
-0.79118364  0            
-0.7898233  0.015337833            
-0.78846296  0.030675666            
-0.78710262  0.015337833            
-0.78574228  0            
-0.78438195  0            
-0.78302161  0.030675666            
