Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.98532081  0.014788502            
-0.98409985  0.014788502            
-0.9828789  0.014788502            
-0.98165794  0.044365506            
-0.98043699  0.044365506            
-0.97921604  0.044365506            
-0.97799508  0.073942511            
-0.97677413  0.044365506            
-0.97555317  0.044365506            
-0.97433222  0.044365506            
-0.97311127  0.088731013            
-0.97189031  0.059154009            
-0.97066936  0.10351951            
-0.9694484  0.19225053            
-0.96822745  0.10351951            
-0.9670065  0.14788502            
-0.96578554  0.16267352            
-0.96456459  0.14788502            
-0.96334363  0.38450106            
-0.96212268  0.17746203            
-0.96090172  0.34013555            
-0.95968077  0.29577004            
-0.95845982  0.36971255            
-0.95723886  0.39928956            
-0.95601791  0.57675158            
-0.95479695  0.45844357            
-0.953576  0.6654826            
-0.95235505  0.54717458            
-0.95113409  0.7246366            
-0.94991314  0.7246366            
-0.94869218  0.78379061            
-0.94747123  0.97604114            
-0.94625028  1.1239262            
-0.94502932  1.6563122            
-0.94380837  2.0556018            
-0.94258741  2.2626408            
-0.94136646  2.8541809            
-0.94014551  3.4013555            
-0.93892455  3.504875            
-0.9377036  5.0724562            
-0.93648264  5.4569573            
-0.93526169  6.743557            
-0.93404073  7.8379061            
-0.93281978  8.1928302            
-0.93159883  11.224473            
-0.93037787  11.298416            
-0.92915692  14.167385            
-0.92793596  14.877233            
-0.92671501  15.956794            
-0.92549406  17.361702            
-0.9242731  18.988437            
-0.92305215  19.225053            
-0.92183119  19.284207            
-0.92061024  22.774293            
-0.91938929  23.336256            
-0.91816833  23.010909            
-0.91694738  23.765123            
-0.91572642  24.282721            
-0.91450547  24.755953            
-0.91328452  24.548914            
-0.91206356  24.563702            
-0.91084261  24.519337            
-0.90962165  22.996121            
-0.9084007  23.291891            
-0.90717974  23.291891            
-0.90595879  23.055275            
-0.90473784  21.709521            
-0.90351688  21.798252            
-0.90229593  20.482075            
-0.90107497  19.594765            
-0.89985402  18.382108            
-0.89863307  17.657472            
-0.89741211  15.986371            
-0.89619116  15.069484            
-0.8949702  14.152597            
-0.89374925  13.013882            
-0.8925283  11.934321            
-0.89130734  11.165319            
-0.89008639  10.440683            
-0.88886543  9.3019678            
-0.88764448  8.3555037            
-0.88642353  8.0745222            
-0.88520257  7.5125591            
-0.88398162  5.9301894            
-0.88276066  5.8710353            
-0.88153971  5.1759757            
-0.88031875  4.5992242            
-0.8790978  4.1259921            
-0.87787685  4.3921851            
-0.87665589  3.6675485            
-0.87543494  3.297836            
-0.87421398  2.8098154            
-0.87299303  2.6915074            
-0.87177208  2.3661603            
-0.87055112  2.4401029            
-0.86933017  1.6415237            
-0.86810921  1.8485628            
-0.86688826  1.5823697            
-0.86566731  1.5380042            
-0.86444635  1.0647722            
-0.8632254  1.0499837            
-0.86200444  0.99082964            
-0.86078349  1.0499837            
-0.85956254  0.90209863            
-0.85834158  0.79857912            
-0.85712063  0.73942511            
-0.85589967  0.6802711            
-0.85467872  0.50280907            
-0.85345776  0.60632859            
-0.85223681  0.45844357            
-0.85101586  0.35492405            
-0.8497949  0.35492405            
-0.84857395  0.28098154            
-0.84735299  0.17746203            
-0.84613204  0.22182753            
-0.84491109  0.088731013            
-0.84369013  0.088731013            
-0.84246918  0.11830802            
-0.84124822  0.044365506            
-0.84002727  0.059154009            
-0.83880632  0.014788502            
-0.83758536  0.073942511            
-0.83636441  0.029577004            
-0.83514345  0.029577004            
-0.8339225  0.014788502            
-0.83270155  0.014788502            
-0.83148059  0.029577004            
-0.83025964  0            
-0.82903868  0            
-0.82781773  0.014788502            
-0.82659677  0            
-0.82537582  0            
-0.82415487  0.014788502            
