Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.67961216  0.18265746            
-0.67919832  0            
-0.67878447  0.73062986            
-0.67837063  0.36531493            
-0.67795679  0.36531493            
-0.67754294  0.18265746            
-0.6771291  1.0959448            
-0.67671526  0.91328732            
-0.67630142  1.4612597            
-0.67588757  1.6439172            
-0.67547373  2.0092321            
-0.67505989  1.8265746            
-0.67464604  3.6531493            
-0.6742322  4.5664366            
-0.67381836  6.3930113            
-0.67340452  6.9409836            
-0.67299067  10.046161            
-0.67257683  10.959448            
-0.67216299  12.786023            
-0.67174914  13.333995            
-0.6713353  16.987144            
-0.67092146  23.197498            
-0.67050761  25.93736            
-0.67009377  28.677222            
-0.66967993  36.166178            
-0.66926609  39.63667            
-0.66885224  41.280587            
-0.6684384  49.500173            
-0.66802456  49.317515            
-0.66761071  56.258499            
-0.66719687  58.267731            
-0.66678303  62.103538            
-0.66636919  69.957809            
-0.66595534  75.802848            
-0.6655415  81.282572            
-0.66512766  88.223555            
-0.66471381  86.214323            
-0.66429997  90.963417            
-0.66388613  83.291804            
-0.66347228  89.136843            
-0.66305844  85.483693            
-0.6626446  90.78076            
-0.66223076  79.821312            
-0.66181691  73.245643            
-0.66140307  82.195859            
-0.66098923  67.765919            
-0.66057538  72.697671            
-0.66016154  62.834168            
-0.6597477  53.883952            
-0.65933386  55.710527            
-0.65892001  57.902416            
-0.65850617  46.942968            
-0.65809233  46.029681            
-0.65767848  37.44478            
-0.65726464  33.061001            
-0.6568508  33.243659            
-0.65643695  27.946592            
-0.65602311  23.380155            
-0.65560927  21.736238            
-0.65519543  15.343227            
-0.65478158  18.448404            
-0.65436774  13.151337            
-0.6539539  13.69931            
-0.65354005  14.247282            
-0.65312621  9.3155307            
-0.65271237  9.8635031            
-0.65229853  9.1328732            
-0.65188468  7.1236411            
-0.65147084  3.4704918            
-0.651057  4.7490941            
-0.65064315  2.739862            
-0.65022931  1.8265746            
-0.64981547  2.374547            
-0.64940162  1.0959448            
-0.64898778  0.73062986            
-0.64857394  0.73062986            
-0.6481601  0.91328732            
-0.64774625  0.91328732            
-0.64733241  0.18265746            
-0.64691857  0.54797239            
-0.64650472  0.54797239            
-0.64609088  0.91328732            
-0.64567704  0.54797239            
