Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.67961216  0.21559225            
-0.67927464  0            
-0.67893712  0.21559225            
-0.6785996  0.53898063            
-0.67826207  0.53898063            
-0.67792455  1.6169419            
-0.67758703  0.53898063            
-0.67724951  0.86236902            
-0.67691199  2.0481264            
-0.67657447  2.0481264            
-0.67623695  2.9104954            
-0.67589943  2.587107            
-0.6755619  3.1260877            
-0.67522438  3.9884567            
-0.67488686  4.0962528            
-0.67454934  5.2820102            
-0.67421182  7.5457289            
-0.6738743  6.791156            
-0.67353678  8.8392824            
-0.67319926  8.9470785            
-0.67286174  12.180962            
-0.67252421  13.9057            
-0.67218669  17.031788            
-0.67184917  17.24738            
-0.67151165  18.64873            
-0.67117413  20.373468            
-0.67083661  27.703605            
-0.67049909  26.841236            
-0.67016157  35.033741            
-0.66982404  37.29746            
-0.66948652  42.040489            
-0.669149  41.717101            
-0.66881148  49.694015            
-0.66847396  52.60451            
-0.66813644  54.868229            
-0.66779892  60.258035            
-0.6674614  68.234948            
-0.66712387  69.636298            
-0.66678635  72.65459            
-0.66644883  77.828804            
-0.66611131  81.709464            
-0.66577379  87.853843            
-0.66543627  84.404367            
-0.66509875  91.195523            
-0.66476123  87.853843            
-0.6644237  93.24365            
-0.66408618  92.381281            
-0.66374866  93.351446            
-0.66341114  91.087727            
-0.66307362  82.679629            
-0.6627361  85.697921            
-0.66239858  81.925056            
-0.66206106  74.487124            
-0.66172353  71.25324            
-0.66138601  73.948143            
-0.66104849  68.666133            
-0.66071097  68.342744            
-0.66037345  67.049191            
-0.66003593  58.209909            
-0.65969841  52.388918            
-0.65936089  51.20316            
-0.65902336  47.3225            
-0.65868584  46.675723            
-0.65834832  35.464926            
-0.6580108  36.650683            
-0.65767328  33.524595            
-0.65733576  27.164624            
-0.65699824  24.793109            
-0.65666072  23.499556            
-0.65632319  21.343633            
-0.65598567  17.355176            
-0.65564815  16.7084            
-0.65531063  15.846031            
-0.65497311  13.690108            
-0.65463559  9.9172437            
-0.65429807  10.348428            
-0.65396055  10.887409            
-0.65362302  6.4677676            
-0.6532855  7.5457289            
-0.65294798  6.791156            
-0.65261046  5.2820102            
-0.65227294  5.3898063            
-0.65193542  4.5274373            
-0.6515979  3.2338838            
-0.65126038  2.0481264            
-0.65092285  2.4793109            
-0.65058533  1.724738            
-0.65024781  1.6169419            
-0.64991029  0.64677676            
-0.64957277  1.0779613            
-0.64923525  0.86236902            
-0.64889773  0.64677676            
-0.64856021  0.64677676            
-0.64822268  0.53898063            
-0.64788516  0.43118451            
-0.64754764  0.32338838            
-0.64721012  0.21559225            
-0.6468726  0.64677676            
-0.64653508  0.10779613            
-0.64619756  0.32338838            
-0.64586004  0            
-0.64552251  0.21559225            
-0.64518499  0            
-0.64484747  0.21559225            
-0.64450995  0.10779613            
