Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.38849354  0.41728623            
-0.38795009  0.69547706            
-0.38740664  1.2518587            
-0.38686319  1.6691449            
-0.38631973  1.8082403            
-0.38577628  2.6428128            
-0.38523283  4.729244            
-0.38468938  4.729244            
-0.38414593  5.8420073            
-0.38360248  5.424721            
-0.38305903  7.5111522            
-0.38251558  5.0074348            
-0.38197213  4.8683394            
-0.38142868  6.5374843            
-0.38088523  7.9284384            
-0.38034178  8.9021063            
-0.37979833  10.710347            
-0.37925488  12.935873            
-0.37871142  14.048637            
-0.37816797  20.447025            
-0.37762452  21.003407            
-0.37708107  23.785315            
-0.37653762  24.341697            
-0.37599417  27.819082            
-0.37545072  32.13104            
-0.37490727  34.356567            
-0.37436382  38.251238            
-0.37382037  35.052044            
-0.37327692  41.589528            
-0.37273347  47.987917            
-0.37219002  54.108115            
-0.37164657  51.882588            
-0.37110311  58.837359            
-0.37055966  59.811027            
-0.37001621  60.367409            
-0.36947276  64.122985            
-0.36892931  68.156752            
-0.36838586  67.461275            
-0.36784241  67.322179            
-0.36729896  67.043988            
-0.36675551  62.175649            
-0.36621206  59.393741            
-0.36566861  61.480172            
-0.36512516  57.307309            
-0.36458171  54.942688            
-0.36403825  53.96902            
-0.3634948  43.815055            
-0.36295135  42.4241            
-0.3624079  34.078376            
-0.36186445  36.721189            
-0.361321  29.349132            
-0.36077755  30.3228            
-0.3602341  24.480792            
-0.35969065  27.262701            
-0.3591472  24.063506            
-0.35860375  19.334262            
-0.3580603  20.30793            
-0.35751685  13.770446            
-0.3569734  12.518587            
-0.35642994  9.8757742            
-0.35588649  7.9284384            
-0.35534304  7.6502476            
-0.35479959  6.6765797            
-0.35425614  5.1465302            
-0.35371269  4.4510532            
-0.35316924  5.0074348            
-0.35262579  3.4773853            
-0.35208234  2.0864312            
-0.35153889  1.3909541            
-0.35099544  0.97366788            
-0.35045199  0.83457247            
-0.34990854  0.69547706            
-0.34936509  0.55638165            
-0.34882163  0.41728623            
-0.34827818  0.41728623            
-0.34773473  0.41728623            
-0.34719128  0.13909541            
-0.34664783  0.41728623            
-0.34610438  0.13909541            
-0.34556093  0            
-0.34501748  0            
-0.34447403  0            
-0.34393058  0.13909541            
