Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.38899183  0.31434523            
-0.38852886  0.39293154            
-0.38806588  0.55010416            
-0.38760291  0.78586308            
-0.38713993  1.8860714            
-0.38667696  1.8860714            
-0.38621398  2.043244            
-0.38575101  2.4361756            
-0.38528803  4.3222469            
-0.38482506  5.2652826            
-0.38436208  4.9509374            
-0.38389911  5.2652826            
-0.38343613  5.5010416            
-0.38297316  6.8370088            
-0.38251019  7.387113            
-0.38204721  7.5442856            
-0.38158424  7.9372171            
-0.38112126  8.0158034            
-0.38065829  9.194598            
-0.38019531  10.609152            
-0.37973234  11.866533            
-0.37926936  14.852812            
-0.37880639  15.560089            
-0.37834341  18.232023            
-0.37788044  21.846994            
-0.37741746  23.497306            
-0.37695449  26.483586            
-0.37649151  27.190863            
-0.37602854  31.434523            
-0.37556556  34.342217            
-0.37510259  37.092737            
-0.37463961  35.599598            
-0.37417664  42.515193            
-0.37371366  43.929746            
-0.37325069  44.165505            
-0.37278771  48.094821            
-0.37232474  53.988794            
-0.37186176  53.988794            
-0.37139879  54.931829            
-0.37093581  63.733496            
-0.37047284  63.65491            
-0.37000987  65.226636            
-0.36954689  66.641189            
-0.36908392  67.112707            
-0.36862094  68.605847            
-0.36815797  70.413332            
-0.36769499  63.026219            
-0.36723202  63.497737            
-0.36676904  62.397529            
-0.36630607  64.519359            
-0.36584309  55.953451            
-0.36538012  57.05366            
-0.36491714  48.802097            
-0.36445417  50.216651            
-0.36399119  42.750952            
-0.36352822  40.943467            
-0.36306524  37.957187            
-0.36260227  35.12808            
-0.36213929  36.385461            
-0.36167632  31.355937            
-0.36121334  27.03369            
-0.36075037  27.819553            
-0.36028739  25.147619            
-0.35982442  23.811651            
-0.35936144  24.440342            
-0.35889847  18.389196            
-0.35843549  16.81747            
-0.35797252  17.288988            
-0.35750954  12.102291            
-0.35704657  11.70936            
-0.3565836  10.844911            
-0.35612062  9.6661159            
-0.35565765  6.4440773            
-0.35519467  6.6798362            
-0.3547317  6.0511457            
-0.35426872  4.4794196            
-0.35380575  4.9509374            
-0.35334277  3.5363839            
-0.3528798  1.7288988            
-0.35241682  2.2004166            
-0.35195385  1.9646577            
-0.35149087  1.7288988            
-0.3510279  1.021622            
-0.35056492  0.78586308            
-0.35010195  0.86444939            
-0.34963897  0.62869046            
-0.349176  0.078586308            
-0.34871302  1.4145535            
-0.34825005  0.55010416            
-0.34778707  0.31434523            
-0.3473241  0.078586308            
-0.34686112  0            
-0.34639815  0.31434523            
-0.34593517  0.078586308            
-0.3454722  0.23575892            
-0.34500922  0            
-0.34454625  0.078586308            
-0.34408328  0            
-0.3436203  0.078586308            
-0.34315733  0.15717262            
-0.34269435  0.078586308            
-0.34223138  0.078586308            
-0.3417684  0.078586308            
-0.34130543  0            
-0.34084245  0.078586308            
