Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
0.26875854  0.13055571            
0.26933753  0            
0.26991653  0            
0.27049553  0            
0.27107453  0            
0.27165353  0            
0.27223252  0.13055571            
0.27281152  0.52222282            
0.27339052  0.13055571            
0.27396952  0.13055571            
0.27454852  0.65277853            
0.27512751  0.39166712            
0.27570651  1.0444456            
0.27628551  1.1750014            
0.27686451  1.5666685            
0.27744351  3.3944484            
0.2780225  3.3944484            
0.2786015  4.438894            
0.2791805  5.2222282            
0.2797595  5.2222282            
0.2803385  5.3527839            
0.2809175  8.4861209            
0.28149649  9.6611222            
0.28207549  11.097235            
0.28265449  12.533348            
0.28323349  13.186126            
0.28381249  15.79724            
0.28439148  17.102797            
0.28497048  24.413917            
0.28554948  26.633364            
0.28612848  27.155587            
0.28670748  27.025031            
0.28728647  29.897257            
0.28786547  37.208376            
0.28844447  38.383378            
0.28902347  42.56116            
0.28960247  48.566723            
0.29018146  45.955609            
0.29076046  53.919507            
0.29133946  47.652833            
0.29191846  55.877842            
0.29249746  58.619512            
0.29307645  59.533402            
0.29365545  58.227845            
0.29423445  64.494519            
0.29481345  56.530621            
0.29539245  53.788951            
0.29597145  54.833397            
0.29655044  57.052844            
0.29712944  55.486175            
0.29770844  45.694497            
0.29828744  48.436167            
0.29886644  43.47505            
0.29944543  43.997273            
0.30002443  40.211157            
0.30060343  37.99171            
0.30118243  32.638927            
0.30176143  32.116704            
0.30234042  31.202814            
0.30291942  32.116704            
0.30349842  26.633364            
0.30407742  26.372253            
0.30465642  24.283361            
0.30523541  21.541691            
0.30581441  18.147243            
0.30639341  15.144462            
0.30697241  14.491683            
0.30755141  10.966679            
0.30813041  9.791678            
0.3087094  7.5722309            
0.3092884  6.0055625            
0.3098674  3.3944484            
0.3104464  3.9166712            
0.3110254  2.3500027            
0.31160439  0.91388994            
0.31218339  1.1750014            
0.31276239  0.39166712            
0.31334139  0.65277853            
0.31392039  0.26111141            
0.31449938  0.26111141            
0.31507838  0.13055571            
0.31565738  0.13055571            
0.31623638  0.13055571            
