Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
0.2731514  0.60362494            
0.27391116  1.2072499            
0.27467092  0.60362494            
0.27543068  0.60362494            
0.27619044  0.90543741            
0.2769502  2.4144998            
0.27770996  1.5090624            
0.27846972  2.7163122            
0.27922948  3.6217496            
0.27998924  4.2253746            
0.280749  5.7344369            
0.28150876  7.5453118            
0.28226852  10.261624            
0.28302828  10.865249            
0.28378805  17.806936            
0.28454781  23.541373            
0.28530757  21.428685            
0.28606733  27.163122            
0.28682709  25.352248            
0.28758685  36.519309            
0.28834661  32.897559            
0.28910637  41.650121            
0.28986613  38.028371            
0.29062589  44.064621            
0.29138565  50.402683            
0.29214541  46.177308            
0.29290517  51.30812            
0.29366493  57.646182            
0.29442469  56.438932            
0.29518445  57.947994            
0.29594421  57.042557            
0.29670397  59.758869            
0.29746373  55.835307            
0.2982235  52.213557            
0.29898326  47.68637            
0.29974302  45.271871            
0.30050278  37.424746            
0.30126254  34.104809            
0.3020223  33.199372            
0.30278206  37.424746            
0.30354182  32.595747            
0.30430158  25.955872            
0.30506134  22.03231            
0.3058211  22.334123            
0.30658086  17.203311            
0.30734062  13.883374            
0.30810038  12.072499            
0.30886014  6.6398744            
0.3096199  5.130812            
0.31037966  5.130812            
0.31113942  5.130812            
0.31189919  3.0181247            
0.31265895  1.5090624            
0.31341871  1.8108748            
0.31417847  0.30181247            
0.31493823  0            
0.31569799  0.30181247            
