Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.59773564  0.11725726            
-0.59709098  0.11725726            
-0.59644632  0            
-0.59580165  0.23451452            
-0.59515699  0.46902905            
-0.59451232  0.70354357            
-0.59386766  0.58628631            
-0.593223  0.93805809            
-0.59257833  1.4070871            
-0.59193367  2.3451452            
-0.59128901  1.4070871            
-0.59064434  1.4070871            
-0.58999968  1.7588589            
-0.58935501  2.696917            
-0.58871035  2.5796597            
-0.58806569  3.2832033            
-0.58742102  3.5177178            
-0.58677636  1.9933734            
-0.5861317  4.2212614            
-0.58548703  5.393834            
-0.58484237  8.3252656            
-0.58419771  8.090751            
-0.58355304  11.13944            
-0.58290838  11.725726            
-0.58226371  16.181502            
-0.58161905  17.002303            
-0.58097439  17.471332            
-0.58032972  22.396137            
-0.57968506  24.975797            
-0.5790404  25.913855            
-0.57839573  27.672714            
-0.57775107  29.54883            
-0.5771064  34.708149            
-0.57646174  33.418319            
-0.57581708  35.294436            
-0.57517241  38.225867            
-0.57452775  46.316618            
-0.57388309  41.040041            
-0.57323842  47.254676            
-0.57259376  49.599822            
-0.57194909  52.179481            
-0.57130443  48.661763            
-0.57065977  56.048971            
-0.5700151  55.931714            
-0.56937044  48.544506            
-0.56872578  49.717079            
-0.56808111  47.606448            
-0.56743645  47.254676            
-0.56679178  43.854216            
-0.56614712  44.675017            
-0.56550246  39.632954            
-0.56485779  38.694896            
-0.56421313  38.694896            
-0.56356847  39.046668            
-0.5629238  31.776718            
-0.56227914  29.079801            
-0.56163447  29.783344            
-0.56098981  28.376257            
-0.56034515  23.685967            
-0.55970048  22.513394            
-0.55905582  21.223564            
-0.55841116  20.637278            
-0.55776649  19.347448            
-0.55712183  17.236817            
-0.55647716  15.126187            
-0.5558325  13.367328            
-0.55518784  10.318639            
-0.55454317  7.7389792            
-0.55389851  6.3318921            
-0.55325385  5.1593195            
-0.55260918  5.393834            
-0.55196452  4.1040041            
-0.55131985  2.5796597            
-0.55067519  2.4624025            
-0.55003053  1.2898299            
-0.54938586  0.46902905            
-0.5487412  0.46902905            
-0.54809654  0.35177178            
-0.54745187  0            
-0.54680721  0.11725726            
-0.54616254  0.11725726            
-0.54551788  0            
-0.54487322  0.11725726            
