Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.5970037  0.46292226            
-0.59634172  0.3471917            
-0.59567975  0.92584452            
-0.59501777  1.3887668            
-0.5943558  1.1573057            
-0.59369382  1.3887668            
-0.59303185  1.851689            
-0.59236987  2.5460724            
-0.5917079  3.0089947            
-0.59104592  2.8932641            
-0.59038395  1.7359585            
-0.58972197  1.1573057            
-0.58906  2.5460724            
-0.58839802  1.1573057            
-0.58773605  2.0831502            
-0.58707407  2.3146113            
-0.5864121  3.3561864            
-0.58575012  4.513492            
-0.58508815  6.8281033            
-0.58442617  9.7213675            
-0.5837642  12.38317            
-0.58310222  15.970818            
-0.58244025  16.780932            
-0.58177827  20.715771            
-0.5811163  22.220268            
-0.58045432  23.261844            
-0.57979235  22.914652            
-0.57913037  25.344994            
-0.5784684  32.636019            
-0.57780642  31.594444            
-0.57714445  34.371978            
-0.57648247  36.686589            
-0.5758205  38.88547            
-0.57515852  39.116931            
-0.57449655  43.167501            
-0.57383457  45.13492            
-0.5731726  47.680993            
-0.57251062  51.037179            
-0.57184865  52.310215            
-0.57118667  43.398962            
-0.5705247  42.820309            
-0.56986272  47.218071            
-0.56920075  43.514692            
-0.56853877  39.579853            
-0.5678768  44.093345            
-0.56721482  41.663003            
-0.56655285  46.870879            
-0.56589087  43.861884            
-0.5652289  45.01919            
-0.56456692  40.042776            
-0.56390495  43.167501            
-0.56324297  36.339397            
-0.562581  36.686589            
-0.56191902  31.710175            
-0.56125705  29.164102            
-0.56059507  27.775336            
-0.5599331  23.377574            
-0.55927112  22.798921            
-0.55860915  17.475315            
-0.55794717  18.285429            
-0.5572852  14.813512            
-0.55662322  13.193284            
-0.55596125  11.341595            
-0.55529927  9.3741758            
-0.5546373  8.3326007            
-0.55397532  6.4809116            
-0.55331335  4.8606837            
-0.55265137  3.7033781            
-0.5519894  2.661803            
-0.55132742  2.5460724            
-0.55066545  1.7359585            
-0.55000347  1.3887668            
-0.5493415  0.69438339            
-0.54867952  0.3471917            
-0.54801755  0            
-0.54735557  0            
-0.5466936  0.23146113            
-0.54603162  0            
-0.54536965  0.11573057            
-0.54470767  0.11573057            
-0.5440457  0            
-0.54338372  0.23146113            
