Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
0.064731836  0.074897302            
0.065270534  0.22469191            
0.065809231  0.29958921            
0.066347929  0.29958921            
0.066886626  0            
0.067425323  0.074897302            
0.067964021  0.29958921            
0.068502718  0.44938381            
0.069041416  0.37448651            
0.069580113  1.0485622            
0.070118811  0.97366493            
0.070657508  1.1234595            
0.071196205  1.3481514            
0.071734903  2.3218164            
0.0722736  1.1234595            
0.072812298  1.497946            
0.073350995  2.5465083            
0.073889693  2.8460975            
0.07442839  3.969557            
0.074967087  3.3703786            
0.075505785  4.4938381            
0.076044482  4.71853            
0.07658318  6.5160653            
0.077121877  6.5160653            
0.077660575  6.441168            
0.078199272  8.9127789            
0.078737969  10.485622            
0.079276667  12.133363            
0.079815364  12.807439            
0.080354062  14.455179            
0.080892759  16.327612            
0.081431457  21.195936            
0.081970154  18.949017            
0.082508852  20.521861            
0.083047549  21.195936            
0.083586246  24.042034            
0.084124944  24.491418            
0.084663641  26.738337            
0.085202339  27.412413            
0.085741036  30.333407            
0.086279734  29.284845            
0.086818431  35.201732            
0.087357128  33.628889            
0.087895826  38.946597            
0.088434523  36.025602            
0.088973221  40.369646            
0.089511918  43.290641            
0.090050616  43.515332            
0.090589313  44.713689            
0.09112801  43.515332            
0.091666708  44.713689            
0.092205405  44.114511            
0.092744103  44.863484            
0.0932828  46.436327            
0.093821498  46.211635            
0.094360195  46.960608            
0.094898892  45.387765            
0.09543759  43.964716            
0.095976287  42.691462            
0.096514985  39.920262            
0.097053682  42.316976            
0.09759238  36.474986            
0.098131077  38.946597            
0.098669774  37.448651            
0.099208472  38.122727            
0.099747169  37.448651            
0.10028587  35.501321            
0.10082456  35.950705            
0.10136326  34.527656            
0.10190196  36.774575            
0.10244066  35.051937            
0.10297935  33.778683            
0.10351805  32.879916            
0.10405675  31.831353            
0.10459545  26.663439            
0.10513414  25.090596            
0.10567284  21.870012            
0.10621154  18.424736            
0.10675024  15.428844            
0.10728893  13.256822            
0.10782763  10.785211            
0.10836633  8.9127789            
0.10890503  8.3884978            
0.10944372  4.2691462            
0.10998242  4.2691462            
0.11052112  2.9958921            
0.11105982  2.6214056            
0.11159851  2.9958921            
0.11213721  1.7226379            
0.11267591  1.3481514            
0.1132146  0.67407572            
0.1137533  0.59917842            
0.114292  0.59917842            
0.1148307  0.59917842            
0.11536939  0.22469191            
0.11590809  0            
0.11644679  0.22469191            
0.11698549  0.1497946            
0.11752418  0.22469191            
0.11806288  0.074897302            
0.11860158  0.074897302            
0.11914028  0.074897302            
