Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.83129525  0.84779801            
-0.8305438  0.56519867            
-0.82979235  1.1303973            
-0.8290409  1.695596            
-0.82828945  2.543394            
-0.827538  7.3475827            
-0.82678655  8.7605794            
-0.8260351  10.173576            
-0.82528365  15.260364            
-0.8245322  24.586142            
-0.82378075  29.390331            
-0.8230293  29.390331            
-0.82227785  42.6725            
-0.8215264  41.542102            
-0.82077495  45.498493            
-0.8200235  56.519867            
-0.81927205  55.106871            
-0.8185206  59.063261            
-0.81776915  64.432649            
-0.8170177  67.258642            
-0.81626625  64.997847            
-0.8155148  69.236837            
-0.81476335  64.997847            
-0.8140119  63.302251            
-0.81326045  55.106871            
-0.812509  56.802467            
-0.81175755  52.846076            
-0.8110061  48.324487            
-0.81025465  38.716109            
-0.8095032  33.629321            
-0.80875175  33.346722            
-0.8080003  29.107732            
-0.80724885  25.151341            
-0.8064974  20.629752            
-0.80574595  17.23856            
-0.8049945  12.999569            
-0.80424305  14.695165            
-0.8034916  8.1953808            
-0.80274015  9.8909768            
-0.8019887  7.3475827            
-0.80123725  4.23899            
-0.8004858  6.4997847            
-0.79973435  6.4997847            
-0.7989829  7.0649834            
-0.79823145  4.23899            
-0.79748  2.8259934            
-0.79672855  1.695596            
-0.7959771  0.84779801            
-0.79522564  0.84779801            
-0.79447419  1.9781954            
-0.79372274  0.84779801            
-0.79297129  1.1303973            
-0.79221984  0.28259934            
-0.79146839  0.56519867            
-0.79071694  0            
-0.78996549  0            
-0.78921404  0            
-0.78846259  0.84779801            
