Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.83405495  0.19138949            
-0.83352536  0.19138949            
-0.83299576  0.19138949            
-0.83246617  0            
-0.83193658  0.76555798            
-0.83140699  1.531116            
-0.8308774  1.7225054            
-0.83034781  4.4019584            
-0.82981822  7.2728008            
-0.82928863  7.4641903            
-0.82875903  10.143643            
-0.82822944  10.335033            
-0.82769985  16.842275            
-0.82717026  15.502549            
-0.82664067  25.072024            
-0.82611108  28.325645            
-0.82558149  28.517035            
-0.8250519  32.153435            
-0.8245223  38.277899            
-0.82399271  38.469288            
-0.82346312  43.062636            
-0.82293353  43.062636            
-0.82240394  48.612931            
-0.82187435  54.546006            
-0.82134476  53.780448            
-0.82081517  56.459901            
-0.82028557  51.483774            
-0.81975598  58.373796            
-0.81922639  58.947964            
-0.8186968  54.546006            
-0.81816721  60.67047            
-0.81763762  58.182406            
-0.81710803  54.354616            
-0.81657844  58.373796            
-0.81604884  62.392975            
-0.81551925  66.220765            
-0.81498966  58.182406            
-0.81446007  59.139354            
-0.81393048  53.780448            
-0.81340089  56.268511            
-0.8128713  49.569879            
-0.81234171  46.124868            
-0.81181211  45.167921            
-0.81128252  43.254026            
-0.81075293  35.407056            
-0.81022334  32.153435            
-0.80969375  34.258719            
-0.80916416  24.306466            
-0.80863457  20.670065            
-0.80810498  19.330339            
-0.80757538  19.713118            
-0.80704579  16.459496            
-0.8065162  16.268107            
-0.80598661  13.780044            
-0.80545702  10.717812            
-0.80492743  9.9522537            
-0.80439784  10.335033            
-0.80386825  6.8900218            
-0.80333865  8.0383587            
-0.80280906  8.9953062            
-0.80227947  5.7416848            
-0.80174988  5.9330743            
-0.80122029  3.8277899            
-0.8006907  4.2105689            
-0.80016111  3.8277899            
-0.79963152  3.6364004            
-0.79910192  2.4880634            
-0.79857233  2.4880634            
-0.79804274  1.148337            
-0.79751315  2.1052844            
-0.79698356  1.3397265            
-0.79645397  0.95694747            
-0.79592438  0.76555798            
-0.79539479  0.19138949            
-0.79486519  0.38277899            
