Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.66825271  0.32161414            
-0.66743811  0.16080707            
-0.66662351  0.75043299            
-0.66580892  0.53602357            
-0.66499432  1.0184448            
-0.66417972  1.5544683            
-0.66336513  2.6265155            
-0.66255053  2.6265155            
-0.66173593  3.9665744            
-0.66092134  4.0737791            
-0.66010674  5.9498616            
-0.65929214  6.7538969            
-0.65847754  8.0403535            
-0.65766295  9.2196053            
-0.65684835  10.023641            
-0.65603375  11.899723            
-0.65521916  11.042085            
-0.65440456  15.491081            
-0.65358996  18.117597            
-0.65277537  20.261691            
-0.65196077  20.904919            
-0.65114617  20.583305            
-0.65033158  21.280136            
-0.64951698  20.904919            
-0.64870238  22.459387            
-0.64788779  21.333738            
-0.64707319  22.566592            
-0.64625859  22.459387            
-0.645444  22.459387            
-0.6446294  26.15795            
-0.6438148  26.908383            
-0.64300021  26.104348            
-0.64218561  29.481296            
-0.64137101  30.821355            
-0.64055641  33.019052            
-0.63974182  34.627122            
-0.63892722  31.786197            
-0.63811262  34.519918            
-0.63729803  31.8398            
-0.63648343  35.055941            
-0.63566883  34.841532            
-0.63485424  32.054209            
-0.63403964  31.464583            
-0.63322504  32.054209            
-0.63241045  33.823087            
-0.63159585  30.446139            
-0.63078125  32.697438            
-0.62996666  24.978698            
-0.62915206  24.442675            
-0.62833746  22.566592            
-0.62752287  21.548147            
-0.62670827  19.672065            
-0.62589367  19.082439            
-0.62507908  16.777538            
-0.62426448  14.204624            
-0.62344988  13.400589            
-0.62263529  12.918168            
-0.62182069  9.8628336            
-0.62100609  8.0939558            
-0.62019149  9.4876171            
-0.6193769  8.0403535            
-0.6185623  6.8611016            
-0.6177477  6.3786804            
-0.61693311  5.6818498            
-0.61611851  7.2363181            
-0.61530391  6.1106687            
-0.61448932  5.6282474            
-0.61367472  4.4489956            
-0.61286012  3.752165            
-0.61204553  3.8057673            
-0.61123093  3.6985626            
-0.61041633  3.752165            
-0.60960174  3.6985626            
-0.60878714  4.4489956            
-0.60797254  5.0922239            
-0.60715795  4.663405            
-0.60634335  3.752165            
-0.60552875  3.4305508            
-0.60471416  3.9665744            
-0.60389956  2.9481296            
-0.60308496  2.4657084            
-0.60227036  2.1440943            
-0.60145577  1.8760825            
-0.60064117  1.6080707            
-0.59982657  1.5544683            
-0.59901198  1.1792518            
-0.59819738  1.3936613            
-0.59738278  0.85763771            
-0.59656819  0.3752165            
-0.59575359  0.69683064            
-0.59493899  0.26801178            
-0.5941244  0.3752165            
-0.5933098  0.3752165            
-0.5924952  0.32161414            
-0.59168061  0.32161414            
-0.59086601  0.053602357            
-0.59005141  0.10720471            
-0.58923682  0.053602357            
-0.58842222  0.053602357            
