Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.66863775  0.72853577            
-0.66770552  0.80138935            
-0.66677329  1.5299251            
-0.66584106  1.7484859            
-0.66490883  2.8412895            
-0.6639766  2.2584609            
-0.66304437  3.1327038            
-0.66211214  4.0798003            
-0.66117991  6.7753827            
-0.66024768  6.4839684            
-0.65931545  8.0867471            
-0.65838322  12.093694            
-0.65745099  12.385108            
-0.65651876  13.84218            
-0.65558653  15.299251            
-0.65465429  20.180441            
-0.65372206  21.346098            
-0.65278983  22.293195            
-0.6518576  23.240291            
-0.65092537  24.405948            
-0.64999314  24.260241            
-0.64906091  22.074634            
-0.64812868  25.644459            
-0.64719645  24.114534            
-0.64626422  24.624509            
-0.64533199  25.280191            
-0.64439976  29.505699            
-0.64346753  29.651406            
-0.6425353  32.856963            
-0.64160307  33.512645            
-0.64067084  34.532596            
-0.63973861  35.698253            
-0.63880638  35.406838            
-0.63787415  33.731206            
-0.63694192  31.837013            
-0.63600968  33.148378            
-0.63507745  29.505699            
-0.63414522  29.214284            
-0.63321299  27.392945            
-0.63228076  28.340042            
-0.63134853  23.240291            
-0.6304163  21.054684            
-0.62948407  17.994834            
-0.62855184  17.557712            
-0.62761961  17.557712            
-0.62668738  13.769326            
-0.62575515  14.934983            
-0.62482292  13.113644            
-0.62389069  11.583719            
-0.62295846  9.470965            
-0.62202623  9.5438186            
-0.621094  6.9210898            
-0.62016177  9.1066971            
-0.61922954  7.8681863            
-0.61829731  7.5039184            
-0.61736507  7.1396506            
-0.61643284  7.066797            
-0.61550061  5.5368719            
-0.61456838  5.3911647            
-0.61363615  4.4440682            
-0.61270392  4.5169218            
-0.61177169  5.0268968            
-0.61083946  4.0069467            
-0.60990723  3.7155324            
-0.608975  4.2255075            
-0.60804277  4.9540432            
-0.60711054  3.278411            
-0.60617831  2.7684359            
-0.60524608  1.6756323            
-0.60431385  2.1856073            
-0.60338162  1.6027787            
-0.60244939  1.8213394            
-0.60151716  1.384218            
-0.60058493  0.87424293            
-0.5996527  1.2385108            
-0.59872046  1.1656572            
-0.59778823  1.4570715            
-0.596856  0.80138935            
-0.59592377  0.43712146            
-0.59499154  0.21856073            
-0.59405931  0.21856073            
-0.59312708  0.072853577            
-0.59219485  0.21856073            
-0.59126262  0            
-0.59033039  0.072853577            
-0.58939816  0.072853577            
