Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
0.14249086  0.1312967            
0.14333506  0.065648351            
0.14417926  0.19694505            
0.14502345  0.1312967            
0.14586765  0.45953846            
0.14671184  0.39389011            
0.14755604  0.2625934            
0.14840024  0.65648351            
0.14924443  0.91907692            
0.15008863  1.312967            
0.15093283  2.0350989            
0.15177702  2.1007472            
0.15262122  2.4946373            
0.15346541  3.2167692            
0.15430961  4.5953846            
0.15515381  6.7617802            
0.155998  7.0900219            
0.1568422  7.0243736            
0.15768639  10.175494            
0.15853059  11.751055            
0.15937479  12.34189            
0.16021898  15.361714            
0.16106318  14.639582            
0.16190737  15.361714            
0.16275157  19.366264            
0.16359577  21.795253            
0.16443996  21.467011            
0.16528416  21.270066            
0.16612836  24.552483            
0.16697255  25.537209            
0.16781675  25.143319            
0.16866094  24.880725            
0.16950514  25.274615            
0.17034934  25.799802            
0.17119353  27.112769            
0.17203773  26.915824            
0.17288192  28.163143            
0.17372612  30.65778            
0.17457032  26.850176            
0.17541451  28.294439            
0.17625871  27.769253            
0.17710291  29.935648            
0.1779471  28.360088            
0.1787913  26.784527            
0.17963549  29.344813            
0.18047969  30.132593            
0.18132389  30.789077            
0.18216808  31.379912            
0.18301228  29.673055            
0.18385647  30.723428            
0.18470067  29.673055            
0.18554487  30.920373            
0.18638906  26.981472            
0.18723326  27.112769            
0.18807745  21.663956            
0.18892165  23.633406            
0.18976585  16.280791            
0.19061004  17.265516            
0.19145424  16.674681            
0.19229844  13.851802            
0.19314263  12.998374            
0.19398683  10.569385            
0.19483102  10.700681            
0.19567522  8.9938241            
0.19651942  8.2060439            
0.19736361  7.1556703            
0.19820781  5.1205714            
0.199052  7.0243736            
0.1998962  5.5801099            
0.2007404  5.2518681            
0.20158459  4.3327912            
0.20242879  5.1205714            
0.20327299  5.8427033            
0.20411718  5.4488132            
0.20496138  5.5144615            
0.20580557  6.2365934            
0.20664977  4.5297362            
0.20749397  3.8732527            
0.20833816  3.2167692            
0.20918236  3.8076044            
0.21002655  2.8228791            
0.21087075  2.2976923            
0.21171495  1.9694505            
0.21255914  1.3786154            
0.21340334  1.6412088            
0.21424754  0.91907692            
0.21509173  1.0503736            
0.21593593  0.39389011            
0.21678012  0.2625934            
0.21762432  0.32824176            
0.21846852  0.19694505            
0.21931271  0.2625934            
