Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
0.14166713  0.19373862            
0.14271347  0.19373862            
0.14375981  0.096869308            
0.14480615  0.096869308            
0.14585249  0.48434654            
0.14689883  0.38747723            
0.14794517  0.67808516            
0.14899151  2.4217327            
0.15003784  2.6154713            
0.15108418  3.0998179            
0.15213052  4.3591189            
0.15317686  5.1340733            
0.1542232  5.8121585            
0.15526954  9.5900615            
0.15631588  8.6213684            
0.15736222  13.561703            
0.15840856  12.205533            
0.1594549  15.305351            
0.16050124  16.080305            
0.16154758  19.66447            
0.16259392  19.180123            
0.16364026  20.536293            
0.1646866  21.311248            
0.16573294  22.473679            
0.16677928  24.507935            
0.16782562  25.379759            
0.16887196  23.054895            
0.1699183  27.898361            
0.17096464  26.348452            
0.17201098  29.44827            
0.17305732  29.254531            
0.17410366  28.576446            
0.17515  27.801491            
0.17619634  30.223224            
0.17724268  28.576446            
0.17828902  29.738878            
0.17933536  26.445321            
0.1803817  27.898361            
0.18142804  28.770184            
0.18247437  28.770184            
0.18352071  26.251582            
0.18456705  24.992281            
0.18561339  26.832798            
0.18665973  24.120458            
0.18770607  20.342555            
0.18875241  18.502038            
0.18979875  18.114561            
0.19084509  14.336658            
0.19189143  14.239788            
0.19293777  11.818056            
0.19398411  10.655624            
0.19503045  9.7838001            
0.19607679  6.8777209            
0.19712313  7.6526753            
0.19816947  8.9119763            
0.19921581  5.1340733            
0.20026215  6.7808516            
0.20130849  6.7808516            
0.20235483  4.8434654            
0.20340117  4.6497268            
0.20444751  6.3933743            
0.20549385  4.8434654            
0.20654019  3.4872951            
0.20758653  4.2622496            
0.20863287  3.5841644            
0.20967921  4.2622496            
0.21072555  2.3248634            
0.21177189  2.4217327            
0.21281823  2.1311248            
0.21386456  0.96869308            
0.2149109  1.3561703            
0.21595724  0.87182377            
0.21700358  0.19373862            
0.21804992  0.096869308            
0.21909626  0.096869308            
