Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.83315015  0.20486407            
-0.83211356  1.0243203            
-0.83107698  0.20486407            
-0.83004039  1.6389125            
-0.8290038  1.2291844            
-0.82796722  2.2535047            
-0.82693063  2.0486407            
-0.82589404  3.2778251            
-0.82485746  5.5313298            
-0.82382087  8.8091549            
-0.82278428  10.857796            
-0.8217477  16.798853            
-0.82071111  27.861513            
-0.81967452  28.885833            
-0.81863794  40.358221            
-0.81760135  44.660367            
-0.81656477  52.240337            
-0.81552818  62.893268            
-0.81449159  58.591123            
-0.81345501  56.542482            
-0.81241842  61.664084            
-0.81138183  59.820307            
-0.81034525  52.650065            
-0.80930866  59.000851            
-0.80827207  47.323599            
-0.80723549  37.694988            
-0.8061989  29.090697            
-0.80516231  27.861513            
-0.80412573  20.076679            
-0.80308914  19.052358            
-0.80205256  18.232902            
-0.80101597  16.798853            
-0.79997938  11.267524            
-0.7989428  12.08698            
-0.79790621  6.7605142            
-0.79686962  5.5313298            
-0.79583304  5.9410579            
-0.79479645  6.9653783            
-0.79375986  6.145922            
-0.79272328  4.9167376            
-0.79168669  3.2778251            
-0.7906501  4.0972813            
-0.78961352  3.4826891            
-0.78857693  3.072961            
-0.78754035  1.6389125            
-0.78650376  0.81945627            
-0.78546717  0.81945627            
-0.78443059  0.20486407            
-0.783394  0.6145922            
-0.78235741  1.6389125            
-0.78132083  0.81945627            
-0.78028424  2.2535047            
-0.77924765  1.2291844            
-0.77821107  1.0243203            
-0.77717448  1.4340485            
-0.77613789  1.6389125            
-0.77510131  1.0243203            
-0.77406472  0.81945627            
