Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.83711028  0.17795775            
-0.83634699  0.26693662            
-0.83558371  0.088978873            
-0.83482042  0.26693662            
-0.83405714  0.44489436            
-0.83329385  1.1567253            
-0.83253057  0.71183098            
-0.83176728  0.9787676            
-0.83100399  2.6693662            
-0.83024071  3.0252817            
-0.82947742  2.5803873            
-0.82871414  2.6693662            
-0.82795085  3.5591549            
-0.82718756  6.2285211            
-0.82642428  5.605669            
-0.82566099  8.8978873            
-0.82489771  10.054613            
-0.82413442  12.723979            
-0.82337113  16.905986            
-0.82260785  16.817007            
-0.82184456  24.024296            
-0.82108128  37.549084            
-0.82031799  37.193169            
-0.8195547  43.065774            
-0.81879142  48.13757            
-0.81802813  55.077922            
-0.81726485  56.234648            
-0.81650156  54.988943            
-0.81573827  60.149718            
-0.81497499  62.730105            
-0.8142117  64.865598            
-0.81344842  56.501584            
-0.81268513  53.743239            
-0.81192184  52.942429            
-0.81115856  53.387324            
-0.81039527  47.158803            
-0.80963199  40.930281            
-0.8088687  36.481338            
-0.80810541  34.968697            
-0.80734213  29.896901            
-0.80657884  26.248767            
-0.80581556  24.024296            
-0.80505227  23.223486            
-0.80428898  20.821056            
-0.8035257  17.617817            
-0.80276241  15.482324            
-0.80199913  13.43581            
-0.80123584  13.969683            
-0.80047255  11.83419            
-0.79970927  11.300317            
-0.79894598  8.9868661            
-0.7981827  7.5632042            
-0.79741941  6.1395422            
-0.79665612  5.1607746            
-0.79589284  4.8048591            
-0.79512955  3.3811972            
-0.79436627  4.0930281            
-0.79360298  3.470176            
-0.79283969  3.2922183            
-0.79207641  2.4914084            
-0.79131312  2.6693662            
-0.79054984  1.6905986            
-0.78978655  1.9575352            
-0.78902326  1.6905986            
-0.78825998  1.3346831            
-0.78749669  1.7795775            
-0.78673341  1.423662            
-0.78597012  1.0677465            
-0.78520683  1.2457042            
-0.78444355  1.2457042            
-0.78368026  1.0677465            
-0.78291698  1.3346831            
-0.78215369  2.1354929            
-0.7813904  2.2244718            
-0.78062712  2.4024296            
-0.77986383  2.3134507            
-0.77910055  2.2244718            
-0.77833726  0.9787676            
-0.77757397  1.5126408            
-0.77681069  1.2457042            
-0.7760474  1.6905986            
-0.77528412  0.80080985            
-0.77452083  0.17795775            
-0.77375754  0.17795775            
-0.77299426  0.26693662            
-0.77223097  0.26693662            
