Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.025789738  0.10848764            
-0.024984774  0.16273146            
-0.02417981  0.10848764            
-0.023374846  0.32546293            
-0.022569883  0.59668203            
-0.021764919  0.65092585            
-0.020959955  1.3018517            
-0.020154992  1.5730708            
-0.019350028  1.7358023            
-0.018545064  2.1697528            
-0.0177401  2.7664349            
-0.016935137  3.4716045            
-0.016130173  4.1767742            
-0.015325209  4.6649686            
-0.014520245  5.9668203            
-0.013715282  6.346527            
-0.012910318  6.8889652            
-0.012105354  9.5469125            
-0.01130039  9.980863            
-0.010495427  12.150616            
-0.0096904629  13.452468            
-0.0088854992  16.544365            
-0.0080805355  18.87685            
-0.0072755717  23.921525            
-0.006470608  25.006401            
-0.0056656443  29.942589            
-0.0048606805  29.508639            
-0.0040557168  33.142975            
-0.003250753  34.282095            
-0.0024457893  35.583946            
-0.0016408256  38.89282            
-0.00083586182  39.435258            
-3.0898085e-05  45.727541            
0.00077406565  47.571831            
0.0015790294  47.463343            
0.0023839931  47.84305            
0.0031889569  46.70393            
0.0039939206  46.866661            
0.0047988843  48.710951            
0.0056038481  42.038961            
0.0064088118  38.133406            
0.0072137756  39.001307            
0.0080187393  37.102773            
0.008823703  32.058098            
0.0096286668  31.298685            
0.010433631  29.834101            
0.011238594  28.261031            
0.012043558  23.70455            
0.012848522  21.751772            
0.013653485  18.659874            
0.014458449  17.249535            
0.015263413  15.405245            
0.016068377  13.127005            
0.01687334  10.523301            
0.017678304  10.36057            
0.018483268  9.7638878            
0.019288232  8.3535484            
0.020093195  7.268672            
0.020898159  5.9668203            
0.021703123  5.153163            
0.022508087  5.9668203            
0.02331305  5.4786259            
0.024118014  4.9361877            
0.024922978  4.8819439            
0.025727942  4.0140427            
0.026532905  2.9834101            
0.027337869  3.037654            
0.028142833  2.2782405            
0.028947796  1.1933641            
0.02975276  0.92214495            
0.030557724  0.86790113            
0.031362688  0.92214495            
0.032167651  0.54243821            
0.032972615  0.65092585            
0.033777579  0.97638878            
0.034582543  0.75941349            
0.035387506  0.70516967            
0.03619247  0.54243821            
0.036997434  1.0306326            
0.037802398  0.70516967            
0.038607361  0.81365731            
0.039412325  0.48819439            
0.040217289  0.86790113            
0.041022253  0.86790113            
0.041827216  1.0848764            
0.04263218  0.86790113            
0.043437144  0.97638878            
0.044242108  0.70516967            
0.045047071  0.59668203            
0.045852035  0.65092585            
0.046656999  0.2712191            
0.047461962  0.2712191            
0.048266926  0.32546293            
0.04907189  0.54243821            
0.049876854  0.10848764            
0.050681817  0            
0.051486781  0.21697528            
0.052291745  0            
0.053096709  0.054243821            
