Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.026851892  0.047868069            
-0.026107363  0.14360421            
-0.025362833  0.095736138            
-0.024618304  0.23934034            
-0.023873775  0.095736138            
-0.023129245  0.28720841            
-0.022384716  0.62228489            
-0.021640186  0.71802103            
-0.020895657  1.1009656            
-0.020151127  1.388174            
-0.019406598  1.388174            
-0.018662068  1.7711185            
-0.017917539  2.3934034            
-0.017173009  2.3934034            
-0.01642848  3.9730497            
-0.01568395  4.5953346            
-0.014939421  5.2176195            
-0.014194891  5.6484321            
-0.013450362  5.6484321            
-0.012705832  7.7067591            
-0.011961303  8.9991969            
-0.011216773  9.8608222            
-0.010472244  11.967017            
-0.0097277142  13.833872            
-0.0089831847  16.323011            
-0.0082386552  18.572811            
-0.0074941257  21.923576            
-0.0067495962  23.886166            
-0.0060050667  27.189063            
-0.0052605373  31.784398            
-0.0045160078  30.013279            
-0.0037714783  35.183031            
-0.0030269488  37.576434            
-0.0022824193  37.480698            
-0.0015378898  41.693088            
-0.00079336031  39.634761            
-4.8830824e-05  45.905478            
0.00069569867  46.144818            
0.0014402282  46.336291            
0.0021847576  46.144818            
0.0029292871  45.139589            
0.0036738166  46.814971            
0.0044183461  45.235325            
0.0051628756  45.905478            
0.0059074051  42.411109            
0.0066519346  39.826233            
0.0073964641  38.246587            
0.0081409936  37.241358            
0.0088855231  31.880134            
0.0096300525  32.119474            
0.010374582  29.24739            
0.011119112  27.189063            
0.011863641  24.460583            
0.012608171  24.508451            
0.0133527  20.104589            
0.014097229  18.907887            
0.014841759  17.280373            
0.015586288  13.6424            
0.016330818  12.732906            
0.017075347  10.100163            
0.017819877  10.052294            
0.018564406  9.5257457            
0.019308936  7.4195507            
0.020053465  6.8451338            
0.020797995  5.600564            
0.021542524  5.4569598            
0.022287054  5.3133556            
0.023031583  4.6910707            
0.023776113  4.6910707            
0.024520642  4.6910707            
0.025265172  4.0209178            
0.026009701  3.446501            
0.026754231  2.9199522            
0.02749876  3.1114245            
0.02824329  2.106195            
0.028987819  1.4360421            
0.029732349  1.7711185            
0.030476878  1.1967017            
0.031221408  1.1967017            
0.031965937  1.0052294            
0.032710467  0.62228489            
0.033454996  0.95736138            
0.034199526  1.2924379            
0.034944055  0.95736138            
0.035688585  1.0530975            
0.036433114  0.47868069            
0.037177644  1.0530975            
0.037922173  0.86162524            
0.038666703  0.90949331            
0.039411232  0.71802103            
0.040155762  0.81375717            
0.040900291  0.71802103            
0.041644821  1.388174            
0.04238935  0.90949331            
0.04313388  1.0530975            
0.043878409  0.7658891            
0.044622939  0.52654876            
0.045367468  0.62228489            
0.046111998  0.52654876            
0.046856527  0.19147228            
0.047601057  0.23934034            
0.048345586  0.33507648            
0.049090116  0.52654876            
0.049834645  0.047868069            
0.050579175  0            
0.051323704  0.14360421            
